image,scheme,selector,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,39.5693,8.8400,19887,0
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,39.5693,9.9134,28192,0
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_center_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,39.5693,9.5316,17511,0
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,39.5693,25.6451,20124,0
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,39.5693,24.7359,19865,0
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,39.5693,19.6909,20081,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,38.3122,20004,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,40.9446,9949,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,9.6602,21266,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,01100001111010010011110000100010,0.968750,0,38.3122,8.8378,18218,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,9.9066,21068,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_center_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,9.5333,24130,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,25.5904,19926,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,24.6874,19864,0
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,38.3122,19.6769,19943,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,44.4785,19093,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,45.6403,13715,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,9.1606,13587,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,01100001010010010011010000000010,0.843750,0,44.4785,10.2696,14047,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,11.3028,19616,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_center_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,10.8235,15680,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,32.6329,18337,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,31.3162,17958,0
ducks.jpg,fixed_q30_5block,fixed_anchor,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,44.4785,28.8659,18995,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,43.1852,19514,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,47.3437,6113,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,9.1610,12931,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,10.2705,15833,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,11.3020,15829,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,crop_center_50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,10.8192,33266,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,32.5552,19264,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,31.2744,18019,0
ducks.jpg,adaptive_q30_5block_random,random,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,43.1852,28.8307,19349,0
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,42.2828,42.2828,19592,0
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,42.2828,45.8334,7108,0
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,42.2828,9.1607,24401,0
