image,attack,branch,message,predicted,bit_accuracy,confidence,mask_pixels,used_fallback
alpaca.jpg,jpeg_q95,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999432,32348,0
alpaca.jpg,jpeg_q95,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999433,32337,0
alpaca.jpg,jpeg_q95,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32330,0
alpaca.jpg,jpeg_q95,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999430,32315,0
alpaca.jpg,jpeg_q95,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999432,32351,0
alpaca.jpg,jpeg_q95,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999432,32351,0
alpaca.jpg,jpeg_q95,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999432,32350,0
alpaca.jpg,jpeg_q95,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999432,32351,0
alpaca.jpg,jpeg_q85,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32334,0
alpaca.jpg,jpeg_q85,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999428,32307,0
alpaca.jpg,jpeg_q85,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999425,32302,0
alpaca.jpg,jpeg_q85,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999415,32311,0
alpaca.jpg,jpeg_q85,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32332,0
alpaca.jpg,jpeg_q85,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32332,0
alpaca.jpg,jpeg_q85,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32333,0
alpaca.jpg,jpeg_q85,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32334,0
alpaca.jpg,jpeg_q75,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999427,32355,0
alpaca.jpg,jpeg_q75,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999423,32334,0
alpaca.jpg,jpeg_q75,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999428,32342,0
alpaca.jpg,jpeg_q75,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999419,32408,0
alpaca.jpg,jpeg_q75,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999427,32354,0
alpaca.jpg,jpeg_q75,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999427,32354,0
alpaca.jpg,jpeg_q75,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999428,32353,0
alpaca.jpg,jpeg_q75,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999429,32350,0
alpaca.jpg,jpeg_q65,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999425,32364,0
