scheme,region_strategy,area_percent,block_count,scaling_w,mean_psnr_watermarked,clean_accuracy,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,jpeg_q50_mean,jpeg_q30_mean,gaussian_blur_1.2_mean,median_filter_3_mean,brightness_1.5_mean,contrast_1.5_mean,saturation_1.5_mean,sharpness_2.0_mean,bright_contrast_jpeg80_mean,resize_0.5_jpeg50_mean,webp_q80_mean,webp_q50_mean,saturation_sharpness_webp80_mean
coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5000,12.3097,0.900000,0.986058,0.950000,0.900000,1.000000,1.000000,1.000000,0.987500,0.968750,0.956250,0.950000,0.968750,0.987500,1.000000,1.000000,1.000000,1.000000
coverage_robust_q50_s2.5,fixed_anchor_regions,50,5,2.5000,10.1147,0.931250,0.993269,0.975000,0.931250,1.000000,1.000000,1.000000,0.993750,0.975000,0.981250,0.975000,0.987500,1.000000,1.000000,1.000000,1.000000,1.000000
coverage_robust_strong_q50_s3.0,fixed_anchor_regions,50,5,3.0000,9.1567,0.875000,0.987981,0.956250,0.875000,1.000000,1.000000,1.000000,0.981250,0.975000,0.956250,0.956250,0.975000,1.000000,1.000000,1.000000,1.000000,1.000000
coverage_strong_q30_s3.0,fixed_anchor_regions,30,5,3.0000,11.3436,0.906250,0.978846,0.943750,0.906250,1.000000,0.993750,1.000000,0.968750,0.943750,0.950000,0.943750,0.956250,0.987500,0.987500,1.000000,1.000000,0.993750
single_center50_s2.5,single_center,50,1,2.5000,9.9575,0.918750,0.998558,0.993750,0.918750,1.000000,1.000000,1.000000,1.000000,1.000000,0.993750,0.993750,0.993750,1.000000,1.000000,1.000000,1.000000,1.000000
single_center50_s3.0,single_center,50,1,3.0000,9.0888,0.862500,0.992788,0.968750,0.862500,1.000000,1.000000,1.000000,0.981250,0.987500,0.981250,0.968750,0.987500,1.000000,1.000000,1.000000,1.000000,1.000000
