attack,mean_bit_accuracy,message_success_rate,num_samples
center_crop_0.5,1.000000,1.0000,50
center_crop_0.75,1.000000,1.0000,50
jpeg_q30,0.998125,0.9400,50
none,1.000000,1.0000,50
random_crop_0.5,0.697500,0.0000,50
