image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000271728.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000271997.png,none,1.000000,1,rep3,10
000000271997.png,center_crop_0.5,1.000000,1,rep3,10
000000271997.png,center_crop_0.75,1.000000,1,rep3,10
000000271997.png,random_crop_0.5,0.700000,0,rep3,10
000000271997.png,jpeg_q30,1.000000,1,rep3,10
000000271997.png,jpeg_q10,1.000000,1,rep3,10
000000271997.png,jpeg_q5,1.000000,1,rep3,10
000000271997.png,resize_0.5,1.000000,1,rep3,10
000000271997.png,resize_0.25,1.000000,1,rep3,10
000000271997.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272049.png,none,1.000000,1,rep3,10
000000272049.png,center_crop_0.5,1.000000,1,rep3,10
000000272049.png,center_crop_0.75,1.000000,1,rep3,10
000000272049.png,random_crop_0.5,0.900000,0,rep3,10
000000272049.png,jpeg_q30,1.000000,1,rep3,10
000000272049.png,jpeg_q10,1.000000,1,rep3,10
000000272049.png,jpeg_q5,1.000000,1,rep3,10
000000272049.png,resize_0.5,1.000000,1,rep3,10
000000272049.png,resize_0.25,1.000000,1,rep3,10
000000272049.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272136.png,none,1.000000,1,rep3,10
000000272136.png,center_crop_0.5,1.000000,1,rep3,10
000000272136.png,center_crop_0.75,1.000000,1,rep3,10
000000272136.png,random_crop_0.5,0.900000,0,rep3,10
000000272136.png,jpeg_q30,1.000000,1,rep3,10
000000272136.png,jpeg_q10,1.000000,1,rep3,10
000000272136.png,jpeg_q5,1.000000,1,rep3,10
000000272136.png,resize_0.5,1.000000,1,rep3,10
000000272136.png,resize_0.25,1.000000,1,rep3,10
000000272136.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272148.png,none,1.000000,1,rep3,10
000000272148.png,center_crop_0.5,1.000000,1,rep3,10
000000272148.png,center_crop_0.75,1.000000,1,rep3,10
000000272148.png,random_crop_0.5,0.800000,0,rep3,10
000000272148.png,jpeg_q30,1.000000,1,rep3,10
000000272148.png,jpeg_q10,1.000000,1,rep3,10
000000272148.png,jpeg_q5,1.000000,1,rep3,10
000000272148.png,resize_0.5,1.000000,1,rep3,10
000000272148.png,resize_0.25,1.000000,1,rep3,10
000000272148.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272212.png,none,1.000000,1,rep3,10
000000272212.png,center_crop_0.5,1.000000,1,rep3,10
000000272212.png,center_crop_0.75,1.000000,1,rep3,10
000000272212.png,random_crop_0.5,0.900000,0,rep3,10
000000272212.png,jpeg_q30,1.000000,1,rep3,10
000000272212.png,jpeg_q10,1.000000,1,rep3,10
000000272212.png,jpeg_q5,1.000000,1,rep3,10
000000272212.png,resize_0.5,1.000000,1,rep3,10
000000272212.png,resize_0.25,1.000000,1,rep3,10
000000272212.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272364.png,none,1.000000,1,rep3,10
000000272364.png,center_crop_0.5,1.000000,1,rep3,10
000000272364.png,center_crop_0.75,1.000000,1,rep3,10
000000272364.png,random_crop_0.5,0.900000,0,rep3,10
000000272364.png,jpeg_q30,1.000000,1,rep3,10
000000272364.png,jpeg_q10,1.000000,1,rep3,10
000000272364.png,jpeg_q5,1.000000,1,rep3,10
000000272364.png,resize_0.5,1.000000,1,rep3,10
000000272364.png,resize_0.25,1.000000,1,rep3,10
000000272364.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272416.png,none,1.000000,1,rep3,10
000000272416.png,center_crop_0.5,1.000000,1,rep3,10
000000272416.png,center_crop_0.75,1.000000,1,rep3,10
000000272416.png,random_crop_0.5,0.700000,0,rep3,10
000000272416.png,jpeg_q30,1.000000,1,rep3,10
000000272416.png,jpeg_q10,1.000000,1,rep3,10
000000272416.png,jpeg_q5,1.000000,1,rep3,10
000000272416.png,resize_0.5,1.000000,1,rep3,10
000000272416.png,resize_0.25,1.000000,1,rep3,10
000000272416.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000272566.png,none,1.000000,1,rep3,10
000000272566.png,center_crop_0.5,1.000000,1,rep3,10
000000272566.png,center_crop_0.75,1.000000,1,rep3,10
000000272566.png,random_crop_0.5,0.700000,0,rep3,10
000000272566.png,jpeg_q30,1.000000,1,rep3,10
000000272566.png,jpeg_q10,1.000000,1,rep3,10
000000272566.png,jpeg_q5,1.000000,1,rep3,10
000000272566.png,resize_0.5,1.000000,1,rep3,10
000000272566.png,resize_0.25,0.900000,0,rep3,10
000000272566.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273132.png,none,1.000000,1,rep3,10
000000273132.png,center_crop_0.5,1.000000,1,rep3,10
000000273132.png,center_crop_0.75,1.000000,1,rep3,10
000000273132.png,random_crop_0.5,0.900000,0,rep3,10
000000273132.png,jpeg_q30,1.000000,1,rep3,10
000000273132.png,jpeg_q10,1.000000,1,rep3,10
000000273132.png,jpeg_q5,1.000000,1,rep3,10
000000273132.png,resize_0.5,1.000000,1,rep3,10
000000273132.png,resize_0.25,1.000000,1,rep3,10
000000273132.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273198.png,none,1.000000,1,rep3,10
000000273198.png,center_crop_0.5,1.000000,1,rep3,10
000000273198.png,center_crop_0.75,1.000000,1,rep3,10
000000273198.png,random_crop_0.5,0.900000,0,rep3,10
000000273198.png,jpeg_q30,1.000000,1,rep3,10
000000273198.png,jpeg_q10,1.000000,1,rep3,10
000000273198.png,jpeg_q5,1.000000,1,rep3,10
000000273198.png,resize_0.5,1.000000,1,rep3,10
000000273198.png,resize_0.25,0.900000,0,rep3,10
000000273198.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273232.png,none,1.000000,1,rep3,10
000000273232.png,center_crop_0.5,1.000000,1,rep3,10
000000273232.png,center_crop_0.75,1.000000,1,rep3,10
000000273232.png,random_crop_0.5,0.700000,0,rep3,10
000000273232.png,jpeg_q30,1.000000,1,rep3,10
000000273232.png,jpeg_q10,1.000000,1,rep3,10
000000273232.png,jpeg_q5,1.000000,1,rep3,10
000000273232.png,resize_0.5,1.000000,1,rep3,10
000000273232.png,resize_0.25,1.000000,1,rep3,10
000000273232.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273420.png,none,1.000000,1,rep3,10
000000273420.png,center_crop_0.5,1.000000,1,rep3,10
000000273420.png,center_crop_0.75,1.000000,1,rep3,10
000000273420.png,random_crop_0.5,0.700000,0,rep3,10
000000273420.png,jpeg_q30,1.000000,1,rep3,10
000000273420.png,jpeg_q10,1.000000,1,rep3,10
000000273420.png,jpeg_q5,1.000000,1,rep3,10
000000273420.png,resize_0.5,1.000000,1,rep3,10
000000273420.png,resize_0.25,1.000000,1,rep3,10
000000273420.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273493.png,none,1.000000,1,rep3,10
000000273493.png,center_crop_0.5,1.000000,1,rep3,10
000000273493.png,center_crop_0.75,1.000000,1,rep3,10
000000273493.png,random_crop_0.5,1.000000,1,rep3,10
000000273493.png,jpeg_q30,1.000000,1,rep3,10
000000273493.png,jpeg_q10,1.000000,1,rep3,10
000000273493.png,jpeg_q5,1.000000,1,rep3,10
000000273493.png,resize_0.5,1.000000,1,rep3,10
000000273493.png,resize_0.25,1.000000,1,rep3,10
000000273493.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273551.png,none,1.000000,1,rep3,10
000000273551.png,center_crop_0.5,1.000000,1,rep3,10
000000273551.png,center_crop_0.75,1.000000,1,rep3,10
000000273551.png,random_crop_0.5,0.700000,0,rep3,10
000000273551.png,jpeg_q30,1.000000,1,rep3,10
000000273551.png,jpeg_q10,1.000000,1,rep3,10
000000273551.png,jpeg_q5,1.000000,1,rep3,10
000000273551.png,resize_0.5,1.000000,1,rep3,10
000000273551.png,resize_0.25,1.000000,1,rep3,10
000000273551.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273617.png,none,1.000000,1,rep3,10
000000273617.png,center_crop_0.5,1.000000,1,rep3,10
000000273617.png,center_crop_0.75,1.000000,1,rep3,10
000000273617.png,random_crop_0.5,0.900000,0,rep3,10
000000273617.png,jpeg_q30,1.000000,1,rep3,10
000000273617.png,jpeg_q10,1.000000,1,rep3,10
000000273617.png,jpeg_q5,1.000000,1,rep3,10
000000273617.png,resize_0.5,1.000000,1,rep3,10
000000273617.png,resize_0.25,1.000000,1,rep3,10
000000273617.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273642.png,none,1.000000,1,rep3,10
000000273642.png,center_crop_0.5,1.000000,1,rep3,10
000000273642.png,center_crop_0.75,1.000000,1,rep3,10
000000273642.png,random_crop_0.5,0.900000,0,rep3,10
000000273642.png,jpeg_q30,1.000000,1,rep3,10
000000273642.png,jpeg_q10,1.000000,1,rep3,10
000000273642.png,jpeg_q5,1.000000,1,rep3,10
000000273642.png,resize_0.5,1.000000,1,rep3,10
000000273642.png,resize_0.25,1.000000,1,rep3,10
000000273642.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273711.png,none,1.000000,1,rep3,10
000000273711.png,center_crop_0.5,1.000000,1,rep3,10
000000273711.png,center_crop_0.75,1.000000,1,rep3,10
000000273711.png,random_crop_0.5,0.900000,0,rep3,10
000000273711.png,jpeg_q30,1.000000,1,rep3,10
000000273711.png,jpeg_q10,1.000000,1,rep3,10
000000273711.png,jpeg_q5,1.000000,1,rep3,10
000000273711.png,resize_0.5,1.000000,1,rep3,10
000000273711.png,resize_0.25,0.900000,0,rep3,10
000000273711.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273712.png,none,1.000000,1,rep3,10
000000273712.png,center_crop_0.5,1.000000,1,rep3,10
000000273712.png,center_crop_0.75,1.000000,1,rep3,10
000000273712.png,random_crop_0.5,0.900000,0,rep3,10
000000273712.png,jpeg_q30,1.000000,1,rep3,10
000000273712.png,jpeg_q10,1.000000,1,rep3,10
000000273712.png,jpeg_q5,1.000000,1,rep3,10
000000273712.png,resize_0.5,1.000000,1,rep3,10
000000273712.png,resize_0.25,1.000000,1,rep3,10
000000273712.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273715.png,none,1.000000,1,rep3,10
000000273715.png,center_crop_0.5,1.000000,1,rep3,10
000000273715.png,center_crop_0.75,1.000000,1,rep3,10
000000273715.png,random_crop_0.5,0.700000,0,rep3,10
000000273715.png,jpeg_q30,1.000000,1,rep3,10
000000273715.png,jpeg_q10,1.000000,1,rep3,10
000000273715.png,jpeg_q5,1.000000,1,rep3,10
000000273715.png,resize_0.5,1.000000,1,rep3,10
000000273715.png,resize_0.25,1.000000,1,rep3,10
000000273715.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000273760.png,none,1.000000,1,rep3,10
000000273760.png,center_crop_0.5,1.000000,1,rep3,10
000000273760.png,center_crop_0.75,1.000000,1,rep3,10
000000273760.png,random_crop_0.5,0.700000,0,rep3,10
000000273760.png,jpeg_q30,1.000000,1,rep3,10
000000273760.png,jpeg_q10,1.000000,1,rep3,10
000000273760.png,jpeg_q5,1.000000,1,rep3,10
000000273760.png,resize_0.5,1.000000,1,rep3,10
000000273760.png,resize_0.25,0.900000,0,rep3,10
000000273760.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274066.png,none,1.000000,1,rep3,10
000000274066.png,center_crop_0.5,1.000000,1,rep3,10
000000274066.png,center_crop_0.75,1.000000,1,rep3,10
000000274066.png,random_crop_0.5,1.000000,1,rep3,10
000000274066.png,jpeg_q30,1.000000,1,rep3,10
000000274066.png,jpeg_q10,1.000000,1,rep3,10
000000274066.png,jpeg_q5,1.000000,1,rep3,10
