image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000001425.png,jpeg_q30,single_scale,1.0,1,10.0347,12.9741,1.0
000000001490.png,none,single_scale,1.0,1,9.6338,9.6338,1.0
000000001490.png,center_crop_0.5,single_scale,0.5,0,9.6338,6.3033,1.0
000000001490.png,center_crop_0.75,single_scale,0.53125,0,9.6338,7.6259,1.0
000000001490.png,random_crop_0.5,single_scale,0.5,0,9.6338,6.5888,1.0
000000001490.png,jpeg_q30,single_scale,1.0,1,9.6338,12.8501,1.0
000000001503.png,none,single_scale,1.0,1,9.64,9.64,1.0
000000001503.png,center_crop_0.5,single_scale,0.5,0,9.64,6.5336,1.0
000000001503.png,center_crop_0.75,single_scale,0.53125,0,9.64,7.7197,1.0
000000001503.png,random_crop_0.5,single_scale,0.625,0,9.64,7.8262,1.0
000000001503.png,jpeg_q30,single_scale,1.0,1,9.64,12.953,1.0
000000001532.png,none,single_scale,1.0,1,10.0655,10.0655,1.0
000000001532.png,center_crop_0.5,single_scale,0.5,0,10.0655,7.3875,1.0
000000001532.png,center_crop_0.75,single_scale,0.53125,0,10.0655,8.7376,1.0
000000001532.png,random_crop_0.5,single_scale,0.59375,0,10.0655,7.4073,1.0
000000001532.png,jpeg_q30,single_scale,1.0,1,10.0655,12.9634,1.0
000000001584.png,none,single_scale,1.0,1,10.2678,10.2678,1.0
000000001584.png,center_crop_0.5,single_scale,0.5,0,10.2678,7.2895,1.0
000000001584.png,center_crop_0.75,single_scale,0.53125,0,10.2678,7.8229,1.0
000000001584.png,random_crop_0.5,single_scale,0.625,0,10.2678,7.4054,1.0
000000001584.png,jpeg_q30,single_scale,1.0,1,10.2678,12.9575,1.0
000000001675.png,none,single_scale,1.0,1,10.4526,10.4526,1.0
000000001675.png,center_crop_0.5,single_scale,0.5,0,10.4526,6.5924,1.0
000000001675.png,center_crop_0.75,single_scale,0.53125,0,10.4526,7.2989,1.0
000000001675.png,random_crop_0.5,single_scale,0.5,0,10.4526,6.1927,1.0
000000001675.png,jpeg_q30,single_scale,1.0,1,10.4526,12.9545,1.0
000000001761.png,none,single_scale,1.0,1,10.8214,10.8214,1.0
000000001761.png,center_crop_0.5,single_scale,0.5,0,10.8214,8.0475,1.0
000000001761.png,center_crop_0.75,single_scale,0.65625,0,10.8214,8.5052,1.0
000000001761.png,random_crop_0.5,single_scale,0.5,0,10.8214,9.8644,1.0
000000001761.png,jpeg_q30,single_scale,1.0,1,10.8214,12.8762,1.0
000000001818.png,none,single_scale,1.0,1,10.4727,10.4727,1.0
000000001818.png,center_crop_0.5,single_scale,0.5,0,10.4727,5.9728,1.0
000000001818.png,center_crop_0.75,single_scale,0.53125,0,10.4727,6.1966,1.0
000000001818.png,random_crop_0.5,single_scale,0.5625,0,10.4727,5.8322,1.0
000000001818.png,jpeg_q30,single_scale,1.0,1,10.4727,12.7169,1.0
000000001993.png,none,single_scale,1.0,1,10.0708,10.0708,1.0
000000001993.png,center_crop_0.5,single_scale,0.5,0,10.0708,6.894,1.0
000000001993.png,center_crop_0.75,single_scale,0.53125,0,10.0708,8.5793,1.0
000000001993.png,random_crop_0.5,single_scale,0.4375,0,10.0708,7.728,1.0
000000001993.png,jpeg_q30,single_scale,1.0,1,10.0708,12.8533,1.0
000000002006.png,none,single_scale,1.0,1,9.7102,9.7102,1.0
000000002006.png,center_crop_0.5,single_scale,0.5,0,9.7102,6.5256,1.0
000000002006.png,center_crop_0.75,single_scale,0.53125,0,9.7102,7.4414,1.0
000000002006.png,random_crop_0.5,single_scale,0.5,0,9.7102,7.8783,1.0
000000002006.png,jpeg_q30,single_scale,1.0,1,9.7102,12.8887,1.0
000000002149.png,none,single_scale,1.0,1,10.3815,10.3815,1.0
000000002149.png,center_crop_0.5,single_scale,0.5,0,10.3815,6.592,1.0
000000002149.png,center_crop_0.75,single_scale,0.53125,0,10.3815,7.5796,1.0
000000002149.png,random_crop_0.5,single_scale,0.53125,0,10.3815,7.1088,1.0
000000002149.png,jpeg_q30,single_scale,0.96875,0,10.3815,12.8692,1.0
000000002153.png,none,single_scale,1.0,1,10.0079,10.0079,1.0
000000002153.png,center_crop_0.5,single_scale,0.5,0,10.0079,7.3062,1.0
000000002153.png,center_crop_0.75,single_scale,0.53125,0,10.0079,8.2706,1.0
000000002153.png,random_crop_0.5,single_scale,0.375,0,10.0079,7.4417,1.0
000000002153.png,jpeg_q30,single_scale,1.0,1,10.0079,12.9991,1.0
000000002157.png,none,single_scale,1.0,1,10.11,10.11,1.0
000000002157.png,center_crop_0.5,single_scale,0.5,0,10.11,7.0949,1.0
000000002157.png,center_crop_0.75,single_scale,0.53125,0,10.11,7.967,1.0
000000002157.png,random_crop_0.5,single_scale,0.53125,0,10.11,8.7142,1.0
000000002157.png,jpeg_q30,single_scale,0.96875,0,10.11,12.9255,1.0
000000002261.png,none,single_scale,1.0,1,9.7817,9.7817,1.0
000000002261.png,center_crop_0.5,single_scale,0.5,0,9.7817,7.0532,1.0
000000002261.png,center_crop_0.75,single_scale,0.53125,0,9.7817,7.6101,1.0
000000002261.png,random_crop_0.5,single_scale,0.53125,0,9.7817,7.4454,1.0
000000002261.png,jpeg_q30,single_scale,0.96875,0,9.7817,12.8704,1.0
000000002299.png,none,single_scale,1.0,1,10.3782,10.3782,1.0
000000002299.png,center_crop_0.5,single_scale,0.5,0,10.3782,6.2099,1.0
000000002299.png,center_crop_0.75,single_scale,0.53125,0,10.3782,6.8537,1.0
000000002299.png,random_crop_0.5,single_scale,0.5,0,10.3782,6.5761,1.0
000000002299.png,jpeg_q30,single_scale,1.0,1,10.3782,12.8481,1.0
000000002431.png,none,single_scale,1.0,1,9.7422,9.7422,1.0
000000002431.png,center_crop_0.5,single_scale,0.5,0,9.7422,6.7298,1.0
000000002431.png,center_crop_0.75,single_scale,0.53125,0,9.7422,7.5112,1.0
000000002431.png,random_crop_0.5,single_scale,0.5,0,9.7422,7.1557,1.0
000000002431.png,jpeg_q30,single_scale,1.0,1,9.7422,12.902,1.0
000000002473.png,none,single_scale,1.0,1,10.0227,10.0227,1.0
000000002473.png,center_crop_0.5,single_scale,0.5,0,10.0227,6.5717,1.0
000000002473.png,center_crop_0.75,single_scale,0.53125,0,10.0227,7.4091,1.0
000000002473.png,random_crop_0.5,single_scale,0.40625,0,10.0227,7.8119,1.0
000000002473.png,jpeg_q30,single_scale,1.0,1,10.0227,12.8717,1.0
000000002532.png,none,single_scale,1.0,1,10.0425,10.0425,1.0
000000002532.png,center_crop_0.5,single_scale,0.5,0,10.0425,6.6523,1.0
000000002532.png,center_crop_0.75,single_scale,0.53125,0,10.0425,7.4987,1.0
000000002532.png,random_crop_0.5,single_scale,0.5625,0,10.0425,7.1591,1.0
000000002532.png,jpeg_q30,single_scale,1.0,1,10.0425,12.8433,1.0
000000002587.png,none,single_scale,1.0,1,10.039,10.039,1.0
000000002587.png,center_crop_0.5,single_scale,0.5,0,10.039,6.9144,1.0
000000002587.png,center_crop_0.75,single_scale,0.5,0,10.039,7.6969,1.0
000000002587.png,random_crop_0.5,single_scale,0.34375,0,10.039,8.0579,1.0
