scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.458333,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.218750,0.625000,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.218750,0.625000,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.458333,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.437500,0.666667,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.229167,0.625000,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,none,global_full_canvas,0.000000,0.458333,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.447917,0.458333,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.385417,0.583333,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.375000,0.583333,0.000000,41.8883,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.500000,0.458333,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.125000,0.458333,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.125000,0.458333,0.000000,44.1606,3
