code_mode,scheme,scenario,attack,decode_method,source_idx,source_image,target_payload,decoded_payload,target_message,predicted_message,bit_accuracy,payload_accuracy,payload_success,mask_pixels,used_fallback,composite_psnr,box
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,0,alpaca.jpg,11001100,11001100,11111111000000001111111100000000,11111111000000001111111100000000,1.000000,1.000000,1,45343,0,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,0,alpaca.jpg,11001100,11001100,11111111000000001111111100000000,11111111000000001111111100000000,1.000000,1.000000,1,45489,0,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,1,ducks.jpg,11010011,00000011,11111111000011110000000011111111,00100001000000000000000011010011,0.593750,0.625000,0,3203,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1,ducks.jpg,11010011,11010011,11111111000011110000000011111111,11111111000011110000000011111111,1.000000,1.000000,1,54606,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,1,ducks.jpg,11010011,11010011,11111111000011110000000011111111,11111111000011110000000011111111,1.000000,1.000000,1,54857,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,2,gauguin_256.jpg,01100101,00000011,00001111111100000000111100001111,00100001000000000000000011010011,0.468750,0.500000,0,3203,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,2,gauguin_256.jpg,01100101,01100101,00001111111100000000111100001111,00001111111100000000111100001111,1.000000,1.000000,1,46995,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,2,gauguin_256.jpg,01100101,01100101,00001111111100000000111100001111,00001111111100000000111100001111,1.000000,1.000000,1,47200,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00100000000000000000000000000000,0.531250,0.500000,0,443,0,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0,alpaca.jpg,11001100,00010010,11111111000000001111111100000000,00000010010000110000000010010001,0.343750,0.250000,0,69,0,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00100000000000000000000000000000,0.406250,0.375000,0,443,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,1,ducks.jpg,11010011,00000001,11111111000011110000000011111111,00000001000010000001000000100110,0.500000,0.500000,0,11632,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,1,ducks.jpg,11010011,00000001,11111111000011110000000011111111,00000001000010000001000000100110,0.500000,0.500000,0,11981,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00100000000000000000000000000000,0.468750,0.500000,0,443,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000001000010000000,0.437500,0.500000,0,3580,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,10000000000000000001000010000000,0.406250,0.500000,0,3665,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0,alpaca.jpg,11001100,10000011,11111111000000001111111100000000,10110001000100100000001011010011,0.437500,0.375000,0,4459,0,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,1,ducks.jpg,11010011,10000011,11111111000011110000000011111111,10110001000100100000001011010011,0.625000,0.750000,0,4459,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,2,gauguin_256.jpg,01100101,10000011,00001111111100000000111100001111,10110001000100100000001011010011,0.437500,0.375000,0,4459,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0,alpaca.jpg,11001100,10000000,11111111000000001111111100000000,00110001000000000000000000010001,0.531250,0.625000,0,2184,0,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,2,1,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3343,"30,36,164,170"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,1,ducks.jpg,11010011,10000000,11111111000011110000000011111111,00110001000000000000000000010001,0.531250,0.500000,0,2184,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,1,ducks.jpg,11010011,01000010,11111111000011110000000011111111,00100101010000010010001011000010,0.500000,0.625000,0,495,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,1,ducks.jpg,11010011,00000010,11111111000011110000000011111111,00100100010000010010000011000000,0.468750,0.500000,0,990,0,43.3343,"188,88,318,218"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,2,gauguin_256.jpg,01100101,10000000,00001111111100000000111100001111,00110001000000000000000000010001,0.468750,0.375000,0,2184,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00100001000000100000000100000000,0.500000,0.500000,0,351,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00100100000000000000000000000000,0.500000,0.500000,0,299,0,43.3343,"336,260,466,390"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,0,alpaca.jpg,11001100,11001100,11111111000000001111111100000000,11111111000000001111111100000000,1.000000,1.000000,1,46861,0,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,0,alpaca.jpg,11001100,11001100,11111111000000001111111100000000,11111111000000001111111100000000,1.000000,1.000000,1,46633,0,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,40.3374,"166,36,342,212"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,1,ducks.jpg,11010011,11010011,11111111000011110000000011111111,11111111000011110000000011111111,1.000000,1.000000,1,42212,0,40.3374,"166,36,342,212"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,1,ducks.jpg,11010011,11010011,11111111000011110000000011111111,11111111000011110000000011111111,1.000000,1.000000,1,42629,0,40.3374,"166,36,342,212"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"300,244,484,428"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,2,gauguin_256.jpg,01100101,01100101,00001111111100000000111100001111,00001111111100000000111100001111,1.000000,1.000000,1,46610,0,40.3374,"300,244,484,428"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,2,gauguin_256.jpg,01100101,01100101,00001111111100000000111100001111,00001111111100000000111100001111,1.000000,1.000000,1,46728,0,40.3374,"300,244,484,428"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"40,280,216,456"
