scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
single_center50_s2.5,webp_q80,1.000000,1.000000,1.000000,10.1146,5
single_center50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,brightness_1.5,0.975000,0.937500,0.400000,9.0926,5
single_center50_s3.0,contrast_1.5,0.950000,0.906250,0.200000,9.0926,5
single_center50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,jpeg_q30,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,jpeg_q50,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,median_filter_3,0.975000,0.968750,0.200000,9.0926,5
single_center50_s3.0,none,0.856250,0.843750,0.000000,9.0926,5
single_center50_s3.0,resize_0.5_jpeg50,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,saturation_1.5,0.943750,0.906250,0.200000,9.0926,5
single_center50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,sharpness_2.0,0.968750,0.937500,0.400000,9.0926,5
single_center50_s3.0,webp_q50,1.000000,1.000000,1.000000,9.0926,5
single_center50_s3.0,webp_q80,1.000000,1.000000,1.000000,9.0926,5
