image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000348216.png,none,single_scale,1.000000,1,10.5195,10.5195,1.0
000000348216.png,center_crop_0.5,single_scale,0.500000,0,10.5195,7.2467,1.0
000000348216.png,center_crop_0.75,single_scale,0.531250,0,10.5195,8.5674,1.0
000000348216.png,random_crop_0.5,single_scale,0.562500,0,10.5195,8.7041,1.0
000000348216.png,jpeg_q30,single_scale,1.000000,1,10.5195,13.0420,1.0
000000348243.png,none,single_scale,1.000000,1,10.2120,10.2120,1.0
000000348243.png,center_crop_0.5,single_scale,0.500000,0,10.2120,8.1423,1.0
000000348243.png,center_crop_0.75,single_scale,0.531250,0,10.2120,8.5898,1.0
000000348243.png,random_crop_0.5,single_scale,0.468750,0,10.2120,8.2807,1.0
000000348243.png,jpeg_q30,single_scale,1.000000,1,10.2120,13.0652,1.0
000000348481.png,none,single_scale,1.000000,1,9.9782,9.9782,1.0
000000348481.png,center_crop_0.5,single_scale,0.500000,0,9.9782,6.8332,1.0
000000348481.png,center_crop_0.75,single_scale,0.531250,0,9.9782,7.8050,1.0
000000348481.png,random_crop_0.5,single_scale,0.531250,0,9.9782,6.8514,1.0
000000348481.png,jpeg_q30,single_scale,1.000000,1,9.9782,12.8672,1.0
000000348488.png,none,single_scale,1.000000,1,10.5008,10.5008,1.0
000000348488.png,center_crop_0.5,single_scale,0.500000,0,10.5008,7.0308,1.0
000000348488.png,center_crop_0.75,single_scale,0.531250,0,10.5008,8.2378,1.0
000000348488.png,random_crop_0.5,single_scale,0.531250,0,10.5008,7.1634,1.0
000000348488.png,jpeg_q30,single_scale,1.000000,1,10.5008,13.0488,1.0
000000348708.png,none,single_scale,1.000000,1,10.0258,10.0258,1.0
000000348708.png,center_crop_0.5,single_scale,0.500000,0,10.0258,6.7652,1.0
000000348708.png,center_crop_0.75,single_scale,0.531250,0,10.0258,7.9409,1.0
000000348708.png,random_crop_0.5,single_scale,0.562500,0,10.0258,8.1822,1.0
000000348708.png,jpeg_q30,single_scale,1.000000,1,10.0258,12.8353,1.0
000000348881.png,none,single_scale,1.000000,1,10.0174,10.0174,1.0
000000348881.png,center_crop_0.5,single_scale,0.500000,0,10.0174,6.9938,1.0
000000348881.png,center_crop_0.75,single_scale,0.531250,0,10.0174,8.1248,1.0
000000348881.png,random_crop_0.5,single_scale,0.500000,0,10.0174,6.5852,1.0
000000348881.png,jpeg_q30,single_scale,1.000000,1,10.0174,12.9136,1.0
000000349152.png,none,single_scale,1.000000,1,9.9006,9.9006,1.0
000000349152.png,center_crop_0.5,single_scale,0.500000,0,9.9006,6.8744,1.0
000000349152.png,center_crop_0.75,single_scale,0.531250,0,9.9006,7.8016,1.0
000000349152.png,random_crop_0.5,single_scale,0.531250,0,9.9006,7.4732,1.0
000000349152.png,jpeg_q30,single_scale,1.000000,1,9.9006,12.9219,1.0
000000349184.png,none,single_scale,1.000000,1,10.0471,10.0471,1.0
000000349184.png,center_crop_0.5,single_scale,0.500000,0,10.0471,6.8856,1.0
000000349184.png,center_crop_0.75,single_scale,0.531250,0,10.0471,7.9353,1.0
000000349184.png,random_crop_0.5,single_scale,0.500000,0,10.0471,8.1138,1.0
000000349184.png,jpeg_q30,single_scale,1.000000,1,10.0471,12.9729,1.0
000000349302.png,none,single_scale,1.000000,1,9.8667,9.8667,1.0
000000349302.png,center_crop_0.5,single_scale,0.500000,0,9.8667,6.7146,1.0
000000349302.png,center_crop_0.75,single_scale,0.531250,0,9.8667,7.7626,1.0
000000349302.png,random_crop_0.5,single_scale,0.593750,0,9.8667,8.9013,1.0
000000349302.png,jpeg_q30,single_scale,1.000000,1,9.8667,12.8977,1.0
000000349480.png,none,single_scale,1.000000,1,10.1001,10.1001,1.0
000000349480.png,center_crop_0.5,single_scale,0.500000,0,10.1001,7.1555,1.0
000000349480.png,center_crop_0.75,single_scale,0.531250,0,10.1001,8.0076,1.0
000000349480.png,random_crop_0.5,single_scale,0.500000,0,10.1001,7.6830,1.0
000000349480.png,jpeg_q30,single_scale,1.000000,1,10.1001,12.7669,1.0
000000349594.png,none,single_scale,1.000000,1,10.7011,10.7011,1.0
000000349594.png,center_crop_0.5,single_scale,0.500000,0,10.7011,5.9152,1.0
000000349594.png,center_crop_0.75,single_scale,0.531250,0,10.7011,7.1317,1.0
000000349594.png,random_crop_0.5,single_scale,0.500000,0,10.7011,6.3850,1.0
000000349594.png,jpeg_q30,single_scale,1.000000,1,10.7011,12.6942,1.0
000000349678.png,none,single_scale,1.000000,1,10.2118,10.2118,1.0
000000349678.png,center_crop_0.5,single_scale,0.500000,0,10.2118,5.9648,1.0
000000349678.png,center_crop_0.75,single_scale,0.531250,0,10.2118,7.0352,1.0
000000349678.png,random_crop_0.5,single_scale,0.500000,0,10.2118,6.9619,1.0
000000349678.png,jpeg_q30,single_scale,1.000000,1,10.2118,12.8677,1.0
000000349837.png,none,single_scale,1.000000,1,9.8758,9.8758,1.0
000000349837.png,center_crop_0.5,single_scale,0.500000,0,9.8758,6.8856,1.0
000000349837.png,center_crop_0.75,single_scale,0.531250,0,9.8758,8.1519,1.0
000000349837.png,random_crop_0.5,single_scale,0.500000,0,9.8758,8.2424,1.0
000000349837.png,jpeg_q30,single_scale,1.000000,1,9.8758,13.0057,1.0
000000349860.png,none,single_scale,1.000000,1,10.5810,10.5810,1.0
000000349860.png,center_crop_0.5,single_scale,0.500000,0,10.5810,7.2456,1.0
000000349860.png,center_crop_0.75,single_scale,0.500000,0,10.5810,8.1487,1.0
000000349860.png,random_crop_0.5,single_scale,0.562500,0,10.5810,7.0243,1.0
000000349860.png,jpeg_q30,single_scale,1.000000,1,10.5810,13.0013,1.0
000000350002.png,none,single_scale,1.000000,1,10.0626,10.0626,1.0
000000350002.png,center_crop_0.5,single_scale,0.500000,0,10.0626,7.1334,1.0
000000350002.png,center_crop_0.75,single_scale,0.531250,0,10.0626,7.9341,1.0
000000350002.png,random_crop_0.5,single_scale,0.500000,0,10.0626,7.6567,1.0
000000350002.png,jpeg_q30,single_scale,1.000000,1,10.0626,12.9852,1.0
000000350003.png,none,single_scale,1.000000,1,9.8089,9.8089,1.0
000000350003.png,center_crop_0.5,single_scale,0.500000,0,9.8089,7.1469,1.0
000000350003.png,center_crop_0.75,single_scale,0.531250,0,9.8089,8.0227,1.0
000000350003.png,random_crop_0.5,single_scale,0.593750,0,9.8089,7.9912,1.0
000000350003.png,jpeg_q30,single_scale,1.000000,1,9.8089,12.8920,1.0
000000350019.png,none,single_scale,1.000000,1,10.3059,10.3059,1.0
000000350019.png,center_crop_0.5,single_scale,0.500000,0,10.3059,7.4393,1.0
000000350019.png,center_crop_0.75,single_scale,0.500000,0,10.3059,8.5586,1.0
000000350019.png,random_crop_0.5,single_scale,0.593750,0,10.3059,7.9292,1.0
000000350019.png,jpeg_q30,single_scale,1.000000,1,10.3059,12.9107,1.0
000000350023.png,none,single_scale,1.000000,1,10.1629,10.1629,1.0
000000350023.png,center_crop_0.5,single_scale,0.500000,0,10.1629,7.4310,1.0
000000350023.png,center_crop_0.75,single_scale,0.562500,0,10.1629,8.4574,1.0
000000350023.png,random_crop_0.5,single_scale,0.531250,0,10.1629,7.2203,1.0
000000350023.png,jpeg_q30,single_scale,1.000000,1,10.1629,13.0501,1.0
000000350054.png,none,single_scale,1.000000,1,10.3661,10.3661,1.0
000000350054.png,center_crop_0.5,single_scale,0.500000,0,10.3661,6.9239,1.0
000000350054.png,center_crop_0.75,single_scale,0.531250,0,10.3661,7.5719,1.0
000000350054.png,random_crop_0.5,single_scale,0.500000,0,10.3661,6.7456,1.0
000000350054.png,jpeg_q30,single_scale,1.000000,1,10.3661,13.0062,1.0
000000350122.png,none,single_scale,1.000000,1,10.1541,10.1541,1.0
000000350122.png,center_crop_0.5,single_scale,0.500000,0,10.1541,6.6232,1.0
000000350122.png,center_crop_0.75,single_scale,0.500000,0,10.1541,7.0100,1.0
000000350122.png,random_crop_0.5,single_scale,0.593750,0,10.1541,7.0790,1.0
000000350122.png,jpeg_q30,single_scale,1.000000,1,10.1541,12.9034,1.0
000000350148.png,none,single_scale,1.000000,1,10.0377,10.0377,1.0
000000350148.png,center_crop_0.5,single_scale,0.500000,0,10.0377,6.5000,1.0
000000350148.png,center_crop_0.75,single_scale,0.531250,0,10.0377,7.1805,1.0
000000350148.png,random_crop_0.5,single_scale,0.437500,0,10.0377,6.4488,1.0
000000350148.png,jpeg_q30,single_scale,1.000000,1,10.0377,12.9051,1.0
000000350388.png,none,single_scale,1.000000,1,10.2731,10.2731,1.0
000000350388.png,center_crop_0.5,single_scale,0.500000,0,10.2731,7.3279,1.0
000000350388.png,center_crop_0.75,single_scale,0.531250,0,10.2731,8.8260,1.0
