image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000001584.png,none,1.000000,1,rep4_interleaved,8
000000001584.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001584.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001584.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001584.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001675.png,none,1.000000,1,rep4_interleaved,8
000000001675.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001675.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001675.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000001675.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001761.png,none,1.000000,1,rep4_interleaved,8
000000001761.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001761.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001761.png,random_crop_0.5,0.875000,0,rep4_interleaved,8
000000001761.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001818.png,none,1.000000,1,rep4_interleaved,8
000000001818.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001818.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001818.png,random_crop_0.5,0.625000,0,rep4_interleaved,8
000000001818.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001993.png,none,1.000000,1,rep4_interleaved,8
000000001993.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001993.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001993.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001993.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002006.png,none,1.000000,1,rep4_interleaved,8
000000002006.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002006.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002006.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000002006.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002149.png,none,1.000000,1,rep4_interleaved,8
000000002149.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002149.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002149.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002149.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002153.png,none,1.000000,1,rep4_interleaved,8
000000002153.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002153.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002153.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002153.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002157.png,none,1.000000,1,rep4_interleaved,8
000000002157.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002157.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002157.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000002157.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002261.png,none,1.000000,1,rep4_interleaved,8
000000002261.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002261.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002261.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000002261.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002299.png,none,1.000000,1,rep4_interleaved,8
000000002299.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002299.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002299.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000002299.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002431.png,none,1.000000,1,rep4_interleaved,8
000000002431.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002431.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002431.png,random_crop_0.5,0.875000,0,rep4_interleaved,8
000000002431.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002473.png,none,1.000000,1,rep4_interleaved,8
000000002473.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002473.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002473.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002473.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002532.png,none,1.000000,1,rep4_interleaved,8
000000002532.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002532.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002532.png,random_crop_0.5,0.875000,0,rep4_interleaved,8
000000002532.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002587.png,none,1.000000,1,rep4_interleaved,8
000000002587.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002587.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002587.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002587.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002592.png,none,1.000000,1,rep4_interleaved,8
000000002592.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002592.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002592.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002592.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002685.png,none,1.000000,1,rep4_interleaved,8
000000002685.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002685.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002685.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002685.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002923.png,none,1.000000,1,rep4_interleaved,8
000000002923.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002923.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002923.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002923.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003156.png,none,1.000000,1,rep4_interleaved,8
000000003156.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003156.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003156.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000003156.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003255.png,none,1.000000,1,rep4_interleaved,8
000000003255.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003255.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003255.png,random_crop_0.5,0.875000,0,rep4_interleaved,8
000000003255.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003501.png,none,1.000000,1,rep4_interleaved,8
000000003501.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003501.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003501.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000003501.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003553.png,none,1.000000,1,rep4_interleaved,8
000000003553.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003553.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003553.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000003553.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003661.png,none,1.000000,1,rep4_interleaved,8
000000003661.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003661.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003661.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000003661.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003845.png,none,1.000000,1,rep4_interleaved,8
000000003845.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003845.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003845.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000003845.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000003934.png,none,1.000000,1,rep4_interleaved,8
000000003934.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000003934.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000003934.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000003934.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000004134.png,none,1.000000,1,rep4_interleaved,8
000000004134.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000004134.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000004134.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000004134.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000004395.png,none,1.000000,1,rep4_interleaved,8
000000004395.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000004395.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
