scheme_,attack_,area_percent_mean,area_percent_min,block_count_mean,block_count_min,scaling_w_mean,scaling_w_min,bit_accuracy_mean,bit_accuracy_min,message_success_mean,message_success_min,psnr_watermarked_mean,psnr_watermarked_min,psnr_attacked_mean,psnr_attacked_min,mask_pixels_mean,mask_pixels_min,used_fallback_mean,used_fallback_min
coverage_robust_strong_q50_s3.0,bright_contrast_jpeg80,50.0,50,5.0,5,3.0,3.0,0.999375,0.96875,0.98,0,9.154092,9.0351,9.98301,9.0912,34973.04,34190,0.0,0
coverage_robust_strong_q50_s3.0,brightness_1.5,50.0,50,5.0,5,3.0,3.0,0.963125,0.875,0.24,0,9.154092,9.0351,7.998718,7.3288,34854.44,34162,0.0,0
coverage_robust_strong_q50_s3.0,contrast_1.5,50.0,50,5.0,5,3.0,3.0,0.955625,0.90625,0.1,0,9.154092,9.0351,8.219444,7.7014,34696.1,34166,0.0,0
coverage_robust_strong_q50_s3.0,gaussian_blur_1.2,50.0,50,5.0,5,3.0,3.0,1.0,1.0,1.0,1,9.154092,9.0351,11.988489999999999,11.6005,34256.74,33712,0.0,0
coverage_robust_strong_q50_s3.0,jpeg_q30,50.0,50,5.0,5,3.0,3.0,0.9975,0.96875,0.92,0,9.154092,9.0351,11.616286,11.2384,36749.44,35355,0.0,0
coverage_robust_strong_q50_s3.0,jpeg_q50,50.0,50,5.0,5,3.0,3.0,1.0,1.0,1.0,1,9.154092,9.0351,11.465242,11.1582,36163.7,34856,0.0,0
coverage_robust_strong_q50_s3.0,median_filter_3,50.0,50,5.0,5,3.0,3.0,0.97625,0.9375,0.28,0,9.154092,9.0351,9.248429999999999,9.1036,34254.08,33829,0.0,0
coverage_robust_strong_q50_s3.0,none,50.0,50,5.0,5,3.0,3.0,0.873125,0.84375,0.0,0,9.154092,9.0351,9.154092,9.0351,35080.6,34676,0.0,0
coverage_robust_strong_q50_s3.0,resize_0.5_jpeg50,50.0,50,5.0,5,3.0,3.0,0.99375,0.96875,0.8,0,9.154092,9.0351,12.01463,11.5,36495.38,34723,0.0,0
coverage_robust_strong_q50_s3.0,saturation_1.5,50.0,50,5.0,5,3.0,3.0,0.955,0.875,0.08,0,9.154092,9.0351,8.191168,7.7904,34633.7,34101,0.0,0
coverage_robust_strong_q50_s3.0,saturation_sharpness_webp80,50.0,50,5.0,5,3.0,3.0,0.999375,0.96875,0.98,0,9.154092,9.0351,10.493262,9.7706,34596.6,34082,0.0,0
coverage_robust_strong_q50_s3.0,sharpness_2.0,50.0,50,5.0,5,3.0,3.0,0.96125,0.90625,0.18,0,9.154092,9.0351,8.64061,8.4505,34372.9,33938,0.0,0
coverage_robust_strong_q50_s3.0,webp_q50,50.0,50,5.0,5,3.0,3.0,1.0,1.0,1.0,1,9.154092,9.0351,11.435462,11.1757,34588.14,34106,0.0,0
coverage_robust_strong_q50_s3.0,webp_q80,50.0,50,5.0,5,3.0,3.0,1.0,1.0,1.0,1,9.154092,9.0351,11.42222,11.1658,34529.42,34036,0.0,0
coverage_strong_q30_s3.0,bright_contrast_jpeg80,30.0,30,5.0,5,3.0,3.0,0.984375,0.96875,0.5,0,11.348996,11.2206,11.603114,10.596,21522.8,20790,0.0,0
coverage_strong_q30_s3.0,brightness_1.5,30.0,30,5.0,5,3.0,3.0,0.935,0.84375,0.06,0,11.348996,11.2206,9.576813999999999,8.8696,21039.42,19946,0.0,0
coverage_strong_q30_s3.0,contrast_1.5,30.0,30,5.0,5,3.0,3.0,0.926875,0.875,0.0,0,11.348996,11.2206,10.244115999999998,9.7457,20701.08,19972,0.0,0
coverage_strong_q30_s3.0,gaussian_blur_1.2,30.0,30,5.0,5,3.0,3.0,0.9975,0.96875,0.92,0,11.348996,11.2206,14.079960000000002,13.6521,21120.24,20581,0.0,0
coverage_strong_q30_s3.0,jpeg_q30,30.0,30,5.0,5,3.0,3.0,0.996875,0.96875,0.9,0,11.348996,11.2206,13.735574,13.31,21157.84,20621,0.0,0
coverage_strong_q30_s3.0,jpeg_q50,30.0,30,5.0,5,3.0,3.0,0.99625,0.96875,0.88,0,11.348996,11.2206,13.612724,13.2764,21134.42,20776,0.0,0
coverage_strong_q30_s3.0,median_filter_3,30.0,30,5.0,5,3.0,3.0,0.950625,0.875,0.04,0,11.348996,11.2206,11.42532,11.2109,20058.84,19797,0.0,0
coverage_strong_q30_s3.0,none,30.0,30,5.0,5,3.0,3.0,0.9,0.84375,0.0,0,11.348996,11.2206,11.348996,11.2206,20616.92,20356,0.0,0
coverage_strong_q30_s3.0,resize_0.5_jpeg50,30.0,30,5.0,5,3.0,3.0,0.994375,0.96875,0.82,0,11.348996,11.2206,14.104847999999999,13.586,21067.9,20596,0.0,0
coverage_strong_q30_s3.0,saturation_1.5,30.0,30,5.0,5,3.0,3.0,0.923125,0.875,0.0,0,11.348996,11.2206,10.335838,9.8767,20285.78,19935,0.0,0
coverage_strong_q30_s3.0,saturation_sharpness_webp80,30.0,30,5.0,5,3.0,3.0,0.98375,0.96875,0.48,0,11.348996,11.2206,12.65705,11.9284,21095.28,20529,0.0,0
coverage_strong_q30_s3.0,sharpness_2.0,30.0,30,5.0,5,3.0,3.0,0.935625,0.84375,0.0,0,11.348996,11.2206,10.812726,10.5921,20110.46,19810,0.0,0
coverage_strong_q30_s3.0,webp_q50,30.0,30,5.0,5,3.0,3.0,0.995,0.96875,0.84,0,11.348996,11.2206,13.61519,13.3443,21145.28,20641,0.0,0
coverage_strong_q30_s3.0,webp_q80,30.0,30,5.0,5,3.0,3.0,0.99375,0.96875,0.8,0,11.348996,11.2206,13.607538,13.3427,21101.62,20659,0.0,0
single_center50_s2.5,bright_contrast_jpeg80,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,10.507048,9.7119,35387.52,34988,0.0,0
single_center50_s2.5,brightness_1.5,50.0,50,1.0,1,2.5,2.5,0.9775,0.84375,0.6,0,10.061494,9.5553,8.430288,7.605,35399.72,35183,0.0,0
single_center50_s2.5,contrast_1.5,50.0,50,1.0,1,2.5,2.5,0.974375,0.84375,0.5,0,10.061494,9.5553,8.855296,8.3132,35343.8,35036,0.0,0
single_center50_s2.5,gaussian_blur_1.2,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,13.140978,12.7694,34990.28,34515,0.0,0
single_center50_s2.5,jpeg_q30,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,12.662898,12.3975,35747.82,35055,0.0,0
single_center50_s2.5,jpeg_q50,50.0,50,1.0,1,2.5,2.5,1.0,1.0,1.0,1,10.061494,9.5553,12.536325999999999,12.343,35555.62,34976,0.0,0
single_center50_s2.5,median_filter_3,50.0,50,1.0,1,2.5,2.5,0.989375,0.875,0.72,0,10.061494,9.5553,10.220738,9.6533,35113.22,34747,0.0,0
single_center50_s2.5,none,50.0,50,1.0,1,2.5,2.5,0.90375,0.84375,0.0,0,10.061494,9.5553,10.061494,9.5553,35400.18,35212,0.0,0
single_center50_s2.5,resize_0.5_jpeg50,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,13.090096,12.8186,35411.78,34935,0.0,0
single_center50_s2.5,saturation_1.5,50.0,50,1.0,1,2.5,2.5,0.968125,0.84375,0.42,0,10.061494,9.5553,8.6678,8.5169,35306.7,35071,0.0,0
single_center50_s2.5,saturation_sharpness_webp80,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,11.229474,10.8628,35227.26,34823,0.0,0
single_center50_s2.5,sharpness_2.0,50.0,50,1.0,1,2.5,2.5,0.98125,0.84375,0.58,0,10.061494,9.5553,9.316184,9.1257,35175.38,34886,0.0,0
single_center50_s2.5,webp_q50,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,12.574375999999999,12.3539,35255.72,34712,0.0,0
single_center50_s2.5,webp_q80,50.0,50,1.0,1,2.5,2.5,0.999375,0.96875,0.98,0,10.061494,9.5553,12.564236000000001,12.3386,35202.94,34750,0.0,0
single_center50_s3.0,bright_contrast_jpeg80,50.0,50,1.0,1,3.0,3.0,0.998125,0.96875,0.94,0,9.084109999999999,8.9324,10.026278,9.2742,35411.96,35036,0.0,0
single_center50_s3.0,brightness_1.5,50.0,50,1.0,1,3.0,3.0,0.964375,0.84375,0.4,0,9.084109999999999,8.9324,7.974796,7.3664,35425.18,35181,0.0,0
single_center50_s3.0,contrast_1.5,50.0,50,1.0,1,3.0,3.0,0.95625,0.84375,0.3,0,9.084109999999999,8.9324,8.182248,7.7309,35377.42,35083,0.0,0
single_center50_s3.0,gaussian_blur_1.2,50.0,50,1.0,1,3.0,3.0,0.999375,0.96875,0.98,0,9.084109999999999,8.9324,12.03161,11.5256,35074.76,34624,0.0,0
single_center50_s3.0,jpeg_q30,50.0,50,1.0,1,3.0,3.0,0.99875,0.9375,0.98,0,9.084109999999999,8.9324,11.596048000000001,11.1642,35820.22,35107,0.0,0
single_center50_s3.0,jpeg_q50,50.0,50,1.0,1,3.0,3.0,0.999375,0.96875,0.98,0,9.084109999999999,8.9324,11.461597999999999,11.0583,35625.32,35131,0.0,0
single_center50_s3.0,median_filter_3,50.0,50,1.0,1,3.0,3.0,0.976875,0.84375,0.38,0,9.084109999999999,8.9324,9.184092,9.0039,35166.0,34875,0.0,0
single_center50_s3.0,none,50.0,50,1.0,1,3.0,3.0,0.8575,0.84375,0.0,0,9.084109999999999,8.9324,9.084109999999999,8.9324,35566.56,35401,0.0,0
single_center50_s3.0,resize_0.5_jpeg50,50.0,50,1.0,1,3.0,3.0,0.999375,0.96875,0.98,0,9.084109999999999,8.9324,12.04149,11.3891,35489.7,34969,0.0,0
single_center50_s3.0,saturation_1.5,50.0,50,1.0,1,3.0,3.0,0.95125,0.84375,0.28,0,9.084109999999999,8.9324,8.150044000000001,7.6812,35335.66,35121,0.0,0
single_center50_s3.0,saturation_sharpness_webp80,50.0,50,1.0,1,3.0,3.0,0.9975,0.9375,0.94,0,9.084109999999999,8.9324,10.525646,9.6281,35259.66,34872,0.0,0
single_center50_s3.0,sharpness_2.0,50.0,50,1.0,1,3.0,3.0,0.96625,0.84375,0.38,0,9.084109999999999,8.9324,8.573053999999999,8.4235,35212.64,34989,0.0,0
single_center50_s3.0,webp_q50,50.0,50,1.0,1,3.0,3.0,0.999375,0.96875,0.98,0,9.084109999999999,8.9324,11.456934,11.1131,35333.04,34916,0.0,0
single_center50_s3.0,webp_q80,50.0,50,1.0,1,3.0,3.0,0.999375,0.96875,0.98,0,9.084109999999999,8.9324,11.439356,11.098,35358.64,34864,0.0,0
