scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.1693,0.696875,0.568750,0.725000,0.787500,0.793750,0.593750,0.568750,0.587500,0.837500,0.712500,0.693750
distributed_q10_9block,10,9,17.2270,0.600781,0.500000,0.593750,0.618750,0.606250,0.593750,0.581250,0.587500,0.681250,0.637500,0.500000
distributed_q20_5block,20,5,14.1419,0.814062,0.575000,0.962500,0.993750,1.000000,0.593750,0.575000,0.575000,0.987500,0.943750,0.843750
distributed_q20_9block,20,9,14.1572,0.792188,0.556250,0.918750,0.968750,0.981250,0.593750,0.556250,0.587500,0.956250,0.868750,0.825000
distributed_q25_5block,25,5,13.1744,0.803906,0.443750,0.975000,0.993750,0.993750,0.587500,0.443750,0.587500,1.000000,0.956250,0.868750
distributed_q25_9block,25,9,13.1680,0.823438,0.593750,0.968750,1.000000,1.000000,0.593750,0.600000,0.593750,1.000000,0.931250,0.868750
distributed_q30_5block,30,5,12.3638,0.825000,0.581250,0.987500,0.981250,0.987500,0.593750,0.581250,0.587500,1.000000,0.987500,0.881250
distributed_q30_9block,30,9,12.3931,0.827344,0.562500,0.993750,1.000000,1.000000,0.593750,0.562500,0.587500,0.993750,0.981250,0.900000
distributed_q50_5block,50,5,10.1880,0.803906,0.462500,1.000000,1.000000,1.000000,0.593750,0.468750,0.462500,1.000000,1.000000,0.906250
distributed_q50_9block,50,9,10.2198,0.816406,0.468750,1.000000,1.000000,1.000000,0.593750,0.468750,0.587500,1.000000,1.000000,0.881250
single_center_50pct,50,1,10.0936,0.827344,0.581250,1.000000,0.975000,0.981250,0.581250,0.593750,0.637500,1.000000,0.975000,0.875000
