scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
single_center50_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,10.1790,50
single_center50_s2.5,jpeg_q30,1.000000,1.000000,1.000000,10.1790,50
single_center50_s2.5,jpeg_q50,1.000000,1.000000,1.000000,10.1790,50
single_center50_s2.5,median_filter_3,0.996875,0.968750,0.900000,10.1790,50
single_center50_s2.5,none,0.906875,0.843750,0.000000,10.1790,50
single_center50_s2.5,resize_0.5_jpeg50,1.000000,1.000000,1.000000,10.1790,50
single_center50_s2.5,saturation_1.5,0.982500,0.906250,0.620000,10.1790,50
single_center50_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,10.1790,50
single_center50_s2.5,sharpness_2.0,0.991875,0.937500,0.780000,10.1790,50
single_center50_s2.5,webp_q50,1.000000,1.000000,1.000000,10.1790,50
single_center50_s2.5,webp_q80,1.000000,1.000000,1.000000,10.1790,50
single_center50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,brightness_1.5,0.970625,0.906250,0.460000,9.1197,50
single_center50_s3.0,contrast_1.5,0.962500,0.875000,0.380000,9.1197,50
single_center50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,jpeg_q30,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,jpeg_q50,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,median_filter_3,0.986875,0.968750,0.580000,9.1197,50
single_center50_s3.0,none,0.860000,0.843750,0.000000,9.1197,50
single_center50_s3.0,resize_0.5_jpeg50,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,saturation_1.5,0.958125,0.843750,0.300000,9.1197,50
single_center50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,sharpness_2.0,0.979375,0.906250,0.540000,9.1197,50
single_center50_s3.0,webp_q50,1.000000,1.000000,1.000000,9.1197,50
single_center50_s3.0,webp_q80,1.000000,1.000000,1.000000,9.1197,50
