scheme,region_strategy,area_percent,block_count,scaling_w,mean_psnr_watermarked,clean_accuracy,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,jpeg_q50_mean,jpeg_q30_mean,gaussian_blur_1.2_mean,median_filter_3_mean,brightness_1.5_mean,contrast_1.5_mean,saturation_1.5_mean,sharpness_2.0_mean,bright_contrast_jpeg80_mean,resize_0.5_jpeg50_mean,webp_q80_mean,webp_q50_mean,saturation_sharpness_webp80_mean
coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5000,12.4391,0.895000,0.981490,0.936875,0.895000,1.000000,0.999375,1.000000,0.980000,0.952500,0.943750,0.936875,0.958750,0.993125,0.998750,1.000000,1.000000,0.996250
coverage_robust_q50_s2.5,fixed_anchor_regions,50,5,2.5000,10.2436,0.921250,0.991010,0.968750,0.921250,1.000000,0.998125,1.000000,0.991875,0.975625,0.974375,0.968750,0.978750,1.000000,0.995625,1.000000,1.000000,1.000000
coverage_robust_strong_q50_s3.0,fixed_anchor_regions,50,5,3.0000,9.1932,0.872500,0.986442,0.956250,0.872500,1.000000,0.998750,1.000000,0.982500,0.965000,0.958125,0.956250,0.966875,1.000000,0.996250,1.000000,1.000000,1.000000
coverage_strong_q30_s3.0,fixed_anchor_regions,30,5,3.0000,11.3867,0.901250,0.971490,0.921250,0.901250,0.998750,0.997500,0.999375,0.953125,0.934375,0.923750,0.921250,0.935000,0.988750,0.996875,0.995625,0.998125,0.986875
single_center50_s2.5,single_center,50,1,2.5000,10.1790,0.906875,0.995913,0.982500,0.906875,1.000000,1.000000,1.000000,0.996875,0.986250,0.989375,0.982500,0.991875,1.000000,1.000000,1.000000,1.000000,1.000000
single_center50_s3.0,single_center,50,1,3.0000,9.1197,0.860000,0.989038,0.958125,0.860000,1.000000,1.000000,1.000000,0.986875,0.970625,0.962500,0.958125,0.979375,1.000000,1.000000,1.000000,1.000000,1.000000
