image,scheme,scaling_w,area_percent,block_count,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4401,9.6510,14367,0
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4401,15.0975,21140,0
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001011,0.900000,0,10010010111000001111010000001001,11010010111000001111010000001001,0.968750,12.4401,15.3410,20900,0
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001000011,0.900000,0,10010010111000001111010000001001,10010000111000001111010000001001,0.968750,12.4401,16.6908,20666,0
000000039405.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.9877,12.9877,20177,0
000000039405.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.9877,12.6061,725,0
000000039405.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.9877,13.0501,14550,0
000000039405.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.9877,15.1672,20586,0
000000039405.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001011,0.900000,0,10010010111000001111010000001001,11010010111000001111010000001001,0.968750,12.9877,15.3369,20432,0
000000039405.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001000010,0.800000,0,10010010111000001111010000001001,10010000101000001111010000001001,0.937500,12.9877,16.3591,21005,0
000000075612.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1000001011,0.900000,0,10010010111000001111010000001001,10000010111000001011010000001001,0.937500,12.0863,12.0863,20474,0
000000075612.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.0863,7.8502,57,0
000000075612.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.0863,9.8442,8988,0
000000075612.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.0863,14.9985,20699,0
000000075612.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000101111010000001001,0.968750,12.0863,15.2768,20966,0
000000075612.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101000010,0.700000,0,10010010111000001111010000001001,11010000101000001111010000001001,0.906250,12.0863,16.8091,20988,0
000000083531.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1000001011,0.900000,0,10010010111000001111010000001001,10000010111000001011010000001001,0.937500,12.3289,12.3289,20501,0
000000083531.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.3289,9.0558,0,1
000000083531.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.3289,9.3483,10348,0
000000083531.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.3289,14.9700,21061,0
000000083531.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001011,0.900000,0,10010010111000001111010000001001,11010010111000001111010000001001,0.968750,12.3289,15.1300,21731,0
000000083531.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.3289,16.5620,21469,0
000000088848.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.4877,12.4877,20648,0
000000088848.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.4877,7.0440,0,1
000000088848.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4877,7.9346,732,0
000000088848.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4877,14.9250,22870,0
000000088848.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4877,15.0844,23493,0
000000088848.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.4877,15.5722,22022,0
000000089648.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2733,12.2733,20308,0
000000089648.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.2733,8.0823,2134,0
000000089648.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.2733,9.2626,14152,0
000000089648.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2733,14.9811,21074,0
