coding,mean_selected_payload_success,worst_selected_payload_success,none_success,crop_bottom_right_50_success,crop_center_50_success,jpeg_q30_success,jpeg_q20_success,resize_0.25_jpeg_q50_success
hamming74_10,0.504000,0.000000,1.000000,0.000000,0.000000,1.000000,0.980000,0.540000
hamming74_interleaved10,0.412000,0.000000,0.980000,0.000000,0.000000,0.980000,0.980000,0.100000
rep3_adjacent10,0.584000,0.000000,1.000000,0.000000,0.000000,0.980000,1.000000,0.940000
rep3_interleaved10,0.596000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.980000
uncoded10,0.272000,0.000000,0.880000,0.000000,0.000000,0.980000,0.280000,0.100000
