scheme,area_percent,block_count,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
dwsf_q30_9block,30,9,none,1.000000,1.000000,1.000000,41.8059,5
dwsf_q30_9block,30,9,remove_center_40,1.000000,1.000000,1.000000,41.8059,5
dwsf_q30_9block,30,9,resize_0.25_jpeg_q50,0.962500,0.812500,0.800000,41.8059,5
dwsf_q50_5block,50,5,black_center_40,1.000000,1.000000,1.000000,39.7612,5
dwsf_q50_5block,50,5,crop_bottom_right_50,0.987500,0.968750,0.600000,39.7612,5
dwsf_q50_5block,50,5,crop_center_50,1.000000,1.000000,1.000000,39.7612,5
dwsf_q50_5block,50,5,crop_top_left_50,0.962500,0.906250,0.400000,39.7612,5
dwsf_q50_5block,50,5,jpeg_q20,0.875000,0.593750,0.600000,39.7612,5
dwsf_q50_5block,50,5,jpeg_q30,0.943750,0.718750,0.800000,39.7612,5
dwsf_q50_5block,50,5,none,1.000000,1.000000,1.000000,39.7612,5
dwsf_q50_5block,50,5,remove_center_40,1.000000,1.000000,1.000000,39.7612,5
dwsf_q50_5block,50,5,resize_0.25_jpeg_q50,0.981250,0.906250,0.800000,39.7612,5
dwsf_q50_9block,50,9,black_center_40,1.000000,1.000000,1.000000,39.4684,5
dwsf_q50_9block,50,9,crop_bottom_right_50,0.993750,0.968750,0.800000,39.4684,5
dwsf_q50_9block,50,9,crop_center_50,0.962500,0.875000,0.600000,39.4684,5
dwsf_q50_9block,50,9,crop_top_left_50,0.968750,0.906250,0.600000,39.4684,5
dwsf_q50_9block,50,9,jpeg_q20,0.893750,0.625000,0.600000,39.4684,5
dwsf_q50_9block,50,9,jpeg_q30,0.950000,0.750000,0.800000,39.4684,5
dwsf_q50_9block,50,9,none,1.000000,1.000000,1.000000,39.4684,5
dwsf_q50_9block,50,9,remove_center_40,1.000000,1.000000,1.000000,39.4684,5
dwsf_q50_9block,50,9,resize_0.25_jpeg_q50,0.950000,0.750000,0.800000,39.4684,5
single_center_50pct,50,1,black_center_40,1.000000,1.000000,1.000000,39.1467,5
single_center_50pct,50,1,crop_bottom_right_50,0.975000,0.906250,0.600000,39.1467,5
single_center_50pct,50,1,crop_center_50,1.000000,1.000000,1.000000,39.1467,5
single_center_50pct,50,1,crop_top_left_50,1.000000,1.000000,1.000000,39.1467,5
single_center_50pct,50,1,jpeg_q20,0.737500,0.000000,0.600000,39.1467,5
single_center_50pct,50,1,jpeg_q30,0.943750,0.750000,0.600000,39.1467,5
single_center_50pct,50,1,none,1.000000,1.000000,1.000000,39.1467,5
single_center_50pct,50,1,remove_center_40,1.000000,1.000000,1.000000,39.1467,5
single_center_50pct,50,1,resize_0.25_jpeg_q50,0.931250,0.656250,0.800000,39.1467,5
