attack,mean_bit_accuracy,message_success_rate,num_samples,method
flip_h,1.000000,1.0000,50,angle_scan
flip_v,1.000000,1.0000,50,angle_scan
none,1.000000,1.0000,50,angle_scan
rotate_1,1.000000,1.0000,2,angle_scan
rotate_100,0.718750,0.0000,1,angle_scan
rotate_103,0.593750,0.0000,1,angle_scan
rotate_105,0.500000,0.0000,1,angle_scan
rotate_107,0.562500,0.0000,1,angle_scan
rotate_111,0.500000,0.0000,1,angle_scan
rotate_112,0.500000,0.0000,4,angle_scan
rotate_115,0.562500,0.0000,2,angle_scan
rotate_12,0.625000,0.0000,1,angle_scan
rotate_120,0.500000,0.0000,1,angle_scan
rotate_122,0.531250,0.0000,1,angle_scan
rotate_123,0.656250,0.0000,1,angle_scan
rotate_125,0.781250,0.0000,1,angle_scan
rotate_127,0.828125,0.0000,2,angle_scan
rotate_128,0.812500,0.0000,1,angle_scan
rotate_129,0.921875,0.0000,2,angle_scan
rotate_130,0.906250,0.0000,1,angle_scan
rotate_134,0.937500,0.0000,1,angle_scan
rotate_136,0.937500,0.0000,1,angle_scan
rotate_138,0.968750,0.0000,1,angle_scan
rotate_139,0.937500,0.0000,1,angle_scan
rotate_14,0.562500,0.0000,2,angle_scan
rotate_146,0.687500,0.0000,1,angle_scan
rotate_147,0.640625,0.0000,2,angle_scan
rotate_150,0.562500,0.0000,1,angle_scan
rotate_151,0.531250,0.0000,2,angle_scan
rotate_156,0.500000,0.0000,1,angle_scan
rotate_159,0.500000,0.0000,2,angle_scan
rotate_162,0.531250,0.0000,1,angle_scan
rotate_164,0.500000,0.0000,1,angle_scan
rotate_169,0.656250,0.0000,2,angle_scan
rotate_174,0.843750,0.0000,1,angle_scan
rotate_183,0.906250,0.0000,1,angle_scan
rotate_186,0.875000,0.0000,1,angle_scan
rotate_187,0.781250,0.0000,1,angle_scan
rotate_189,0.750000,0.0000,1,angle_scan
rotate_190,0.687500,0.0000,1,angle_scan
rotate_193,0.562500,0.0000,1,angle_scan
rotate_197,0.531250,0.0000,2,angle_scan
rotate_20,0.531250,0.0000,1,angle_scan
rotate_200,0.515625,0.0000,2,angle_scan
rotate_205,0.500000,0.0000,1,angle_scan
rotate_206,0.500000,0.0000,1,angle_scan
rotate_207,0.562500,0.0000,1,angle_scan
rotate_213,0.593750,0.0000,1,angle_scan
rotate_214,0.781250,0.0000,1,angle_scan
rotate_215,0.750000,0.0000,1,angle_scan
rotate_216,0.812500,0.0000,1,angle_scan
rotate_217,0.812500,0.0000,2,angle_scan
rotate_221,0.906250,0.0000,1,angle_scan
rotate_226,1.000000,1.0000,1,angle_scan
rotate_230,0.906250,0.0000,3,angle_scan
rotate_232,0.906250,0.0000,1,angle_scan
rotate_235,0.718750,0.0000,1,angle_scan
rotate_236,0.687500,0.0000,1,angle_scan
rotate_242,0.531250,0.0000,1,angle_scan
rotate_246,0.500000,0.0000,1,angle_scan
rotate_251,0.531250,0.0000,2,angle_scan
rotate_252,0.500000,0.0000,1,angle_scan
rotate_253,0.515625,0.0000,2,angle_scan
rotate_254,0.500000,0.0000,1,angle_scan
rotate_256,0.500000,0.0000,1,angle_scan
rotate_258,0.531250,0.0000,1,angle_scan
rotate_260,0.718750,0.0000,1,angle_scan
rotate_263,0.812500,0.0000,1,angle_scan
rotate_267,0.890625,0.0000,2,angle_scan
rotate_269,1.000000,1.0000,1,angle_scan
rotate_27,0.500000,0.0000,1,angle_scan
rotate_270,1.000000,1.0000,1,angle_scan
rotate_273,0.906250,0.0000,1,angle_scan
rotate_279,0.781250,0.0000,1,angle_scan
rotate_28,0.500000,0.0000,1,angle_scan
rotate_282,0.625000,0.0000,1,angle_scan
rotate_283,0.593750,0.0000,1,angle_scan
rotate_294,0.500000,0.0000,1,angle_scan
rotate_297,0.500000,0.0000,1,angle_scan
rotate_300,0.531250,0.0000,1,angle_scan
rotate_303,0.578125,0.0000,2,angle_scan
rotate_306,0.812500,0.0000,1,angle_scan
rotate_309,0.906250,0.0000,1,angle_scan
rotate_314,0.968750,0.0000,1,angle_scan
rotate_315,1.000000,1.0000,1,angle_scan
rotate_317,0.937500,0.0000,1,angle_scan
rotate_323,0.781250,0.0000,1,angle_scan
rotate_324,0.750000,0.0000,1,angle_scan
