scheme,scaling_w,mean_psnr_watermarked,mean_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
dwsf_5region_spatial,1.5000,44.1913,0.897656,1.000000,1.000000,1.000000,0.831250,0.787500,0.868750,0.925000,0.806250,0.962500
dwsf_5region_spatial,2.0000,41.7007,0.938281,1.000000,1.000000,1.000000,0.937500,0.875000,0.956250,0.937500,0.837500,0.962500
dwsf_5region_spatial,2.5000,39.7711,0.964063,1.000000,1.000000,1.000000,0.968750,0.943750,0.975000,0.962500,0.887500,0.975000
dwsf_5region_spatial,3.0000,38.1964,0.973437,1.000000,1.000000,1.000000,0.981250,0.962500,0.975000,0.975000,0.900000,0.993750
single_center_50pct,1.5000,43.5495,0.875000,1.000000,0.975000,0.931250,0.900000,0.806250,0.881250,0.862500,0.712500,0.931250
single_center_50pct,2.0000,41.0591,0.916406,1.000000,0.987500,0.968750,0.925000,0.931250,0.950000,0.906250,0.731250,0.931250
single_center_50pct,2.5000,39.1293,0.957812,1.000000,0.987500,0.981250,0.975000,0.968750,0.975000,0.950000,0.868750,0.956250
single_center_50pct,3.0000,37.5542,0.963281,1.000000,0.987500,0.981250,0.987500,0.975000,0.975000,0.950000,0.887500,0.962500
