scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
single_center50_s2.5,contrast_1.5,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,jpeg_q30,0.937500,0.718750,0.600000,39.1000,5
single_center50_s2.5,jpeg_q50,0.981250,0.906250,0.800000,39.1000,5
single_center50_s2.5,median_filter_3,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,none,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,resize_0.5_jpeg50,0.987500,0.937500,0.800000,39.1000,5
single_center50_s2.5,saturation_1.5,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,sharpness_2.0,1.000000,1.000000,1.000000,39.1000,5
single_center50_s2.5,webp_q50,0.943750,0.750000,0.600000,39.1000,5
single_center50_s2.5,webp_q80,1.000000,1.000000,1.000000,39.1000,5
single_center50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,brightness_1.5,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,contrast_1.5,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,jpeg_q30,0.956250,0.781250,0.800000,37.5249,5
single_center50_s3.0,jpeg_q50,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,median_filter_3,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,none,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,resize_0.5_jpeg50,0.993750,0.968750,0.800000,37.5249,5
single_center50_s3.0,saturation_1.5,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,sharpness_2.0,1.000000,1.000000,1.000000,37.5249,5
single_center50_s3.0,webp_q50,0.956250,0.812500,0.600000,37.5249,5
single_center50_s3.0,webp_q80,1.000000,1.000000,1.000000,37.5249,5
