image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000349302.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000349302.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000349302.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000349302.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000349302.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000349302.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000349480.png,none,1.000000,1,rep4_interleaved,8
000000349480.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000349480.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000349480.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000349480.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000349480.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000349480.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000349480.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000349480.png,resize_0.25,0.750000,0,rep4_interleaved,8
000000349480.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000349594.png,none,1.000000,1,rep4_interleaved,8
000000349594.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000349594.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000349594.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000349594.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000349594.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000349594.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000349594.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000349594.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000349594.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000349678.png,none,1.000000,1,rep4_interleaved,8
000000349678.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000349678.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000349678.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000349678.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000349678.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000349678.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000349678.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000349678.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000349678.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000349837.png,none,1.000000,1,rep4_interleaved,8
000000349837.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000349837.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000349837.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000349837.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000349837.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000349837.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000349837.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000349837.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000349837.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000349860.png,none,1.000000,1,rep4_interleaved,8
000000349860.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000349860.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000349860.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000349860.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000349860.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000349860.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000349860.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000349860.png,resize_0.25,1.000000,1,rep4_interleaved,8
000000349860.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350002.png,none,1.000000,1,rep4_interleaved,8
000000350002.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350002.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350002.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350002.png,jpeg_q30,1.000000,1,rep4_interleaved,8
