scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.750000,0.750000,0.000000,15.0472,3
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.531250,0.000000,15.0472,3
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,none,localized_resize,0.791667,0.791667,0.000000,15.0472,3
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,none,oracle_box_raw,0.791667,0.791667,0.000000,15.0472,3
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.531250,0.000000,15.0472,3
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.520833,0.677083,0.000000,15.0472,3
full_material_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.520833,0.677083,0.000000,15.0472,3
full_material_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.453125,0.453125,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,localized_resize,0.968750,0.968750,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.968750,0.968750,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.453125,0.453125,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,localized_resize,0.968750,0.968750,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.968750,0.968750,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,none,global_full_canvas,0.453125,0.453125,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,none,localized_resize,0.984375,0.984375,0.500000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,none,oracle_box_raw,0.984375,0.984375,0.500000,14.1362,2
