code_mode,scheme,scenario,attack,decode_method,source_idx,source_image,target_payload,decoded_payload,target_message,predicted_message,bit_accuracy,payload_accuracy,payload_success,mask_pixels,used_fallback,composite_psnr,box
identity_32bit,single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,localized_resize,1,000000021167.png,11010011101001000001101111011001,01010011100001000001101111011011,11010011101001000001101111011001,01010011100001000001101111011011,0.906250,0.906250,0,35392,0,17.1979,"270,172,450,352"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0,000000005529.png,11001100111001111111101000010010,00000000000000000000000000000000,11001100111001111111101000010010,00000000000000000000000000000000,0.437500,0.437500,0,437,0,16.3202,"30,36,164,170"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,0,000000005529.png,11001100111001111111101000010010,11001100101000110011100000000010,11001100111001111111101000010010,11001100101000110011100000000010,0.812500,0.812500,0,46267,0,16.3202,"30,36,164,170"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,localized_resize,0,000000005529.png,11001100111001111111101000010010,11001100101000110011100000000010,11001100111001111111101000010010,11001100101000110011100000000010,0.812500,0.812500,0,46267,0,16.3202,"30,36,164,170"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,1,000000021167.png,11010011101001000001101111011001,00000000000000000000000000000000,11010011101001000001101111011001,00000000000000000000000000000000,0.468750,0.468750,0,437,0,16.3202,"188,88,318,218"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1,000000021167.png,11010011101001000001101111011001,00000000000000000001000000000001,11010011101001000001101111011001,00000000000000000001000000000001,0.531250,0.531250,0,763,0,16.3202,"188,88,318,218"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,localized_resize,1,000000021167.png,11010011101001000001101111011001,00000000000000000001000000000001,11010011101001000001101111011001,00000000000000000001000000000001,0.531250,0.531250,0,763,0,16.3202,"188,88,318,218"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,2,000000022705.png,01100101100001000100001000010010,00000000000000000000000000000000,01100101100001000100001000010010,00000000000000000000000000000000,0.687500,0.687500,0,437,0,16.3202,"336,260,466,390"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,2,000000022705.png,01100101100001000100001000010010,01100101010000000000000000000010,01100101100001000100001000010010,01100101010000000000000000000010,0.812500,0.812500,0,45209,0,16.3202,"336,260,466,390"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,none,localized_resize,2,000000022705.png,01100101100001000100001000010010,01100101010000000000000000000010,01100101100001000100001000010010,01100101010000000000000000000010,0.812500,0.812500,0,45209,0,16.3202,"336,260,466,390"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0,000000005529.png,11001100111001111111101000010010,00000000000000000000000000000000,11001100111001111111101000010010,00000000000000000000000000000000,0.437500,0.437500,0,274,0,16.3202,"30,36,164,170"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0,000000005529.png,11001100111001111111101000010010,11001100111000110111100000000010,11001100111001111111101000010010,11001100111000110111100000000010,0.875000,0.875000,0,50857,0,16.3202,"30,36,164,170"
identity_32bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q70,localized_resize,0,000000005529.png,11001100111001111111101000010010,11001100111000110111100000000010,11001100111001111111101000010010,11001100111000110111100000000010,0.875000,0.875000,0,50857,0,16.3202,"30,36,164,170"
