scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.2892,0.670313,0.468750,0.700000,0.781250,0.793750,0.587500,0.475000,0.468750,0.812500,0.750000,0.693750
distributed_q10_9block,10,9,17.3339,0.556250,0.356250,0.593750,0.656250,0.606250,0.593750,0.593750,0.356250,0.718750,0.550000,0.375000
distributed_q20_5block,20,5,14.2256,0.821094,0.593750,0.950000,0.987500,0.981250,0.593750,0.593750,0.593750,0.987500,0.962500,0.868750
distributed_q20_9block,20,9,14.2355,0.784375,0.468750,0.912500,0.987500,0.993750,0.593750,0.468750,0.475000,0.981250,0.950000,0.825000
distributed_q25_5block,25,5,13.2658,0.816406,0.475000,0.987500,1.000000,1.000000,0.475000,0.593750,0.593750,1.000000,0.981250,0.887500
distributed_q25_9block,25,9,13.2297,0.794531,0.468750,0.950000,1.000000,1.000000,0.593750,0.468750,0.475000,1.000000,0.962500,0.856250
distributed_q30_5block,30,5,12.4461,0.818750,0.462500,1.000000,1.000000,1.000000,0.462500,0.593750,0.593750,1.000000,1.000000,0.900000
distributed_q30_9block,30,9,12.4425,0.814844,0.475000,0.956250,0.987500,0.993750,0.593750,0.581250,0.475000,1.000000,0.981250,0.906250
distributed_q50_5block,50,5,10.2170,0.836719,0.593750,1.000000,1.000000,1.000000,0.600000,0.593750,0.593750,1.000000,1.000000,0.906250
distributed_q50_9block,50,9,10.2569,0.803906,0.356250,1.000000,1.000000,1.000000,0.356250,0.593750,0.593750,1.000000,0.993750,0.893750
single_center_50pct,50,1,10.0701,0.830469,0.587500,1.000000,0.968750,0.981250,0.593750,0.587500,0.637500,0.993750,0.993750,0.887500
