image,attack,method,bit_accuracy,message_success
000000005529.png,none,derotate_ms,1.000000,1
000000005529.png,rotate_15,derotate_ms,1.000000,1
000000005529.png,rotate_30,derotate_ms,1.000000,1
000000005529.png,rotate_45,derotate_ms,1.000000,1
000000005529.png,rotate_90,derotate_ms,1.000000,1
000000005529.png,rotate_180,derotate_ms,1.000000,1
000000005529.png,flip_h,derotate_ms,1.000000,1
000000005529.png,flip_v,derotate_ms,1.000000,1
000000005529.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000021167.png,none,derotate_ms,1.000000,1
000000021167.png,rotate_15,derotate_ms,1.000000,1
000000021167.png,rotate_30,derotate_ms,1.000000,1
000000021167.png,rotate_45,derotate_ms,1.000000,1
000000021167.png,rotate_90,derotate_ms,1.000000,1
000000021167.png,rotate_180,derotate_ms,1.000000,1
000000021167.png,flip_h,derotate_ms,1.000000,1
000000021167.png,flip_v,derotate_ms,1.000000,1
000000021167.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000022705.png,none,derotate_ms,1.000000,1
000000022705.png,rotate_15,derotate_ms,1.000000,1
000000022705.png,rotate_30,derotate_ms,1.000000,1
000000022705.png,rotate_45,derotate_ms,1.000000,1
000000022705.png,rotate_90,derotate_ms,1.000000,1
000000022705.png,rotate_180,derotate_ms,1.000000,1
000000022705.png,flip_h,derotate_ms,1.000000,1
000000022705.png,flip_v,derotate_ms,1.000000,1
000000022705.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000025228.png,none,derotate_ms,1.000000,1
000000025228.png,rotate_15,derotate_ms,1.000000,1
000000025228.png,rotate_30,derotate_ms,1.000000,1
000000025228.png,rotate_45,derotate_ms,1.000000,1
000000025228.png,rotate_90,derotate_ms,1.000000,1
000000025228.png,rotate_180,derotate_ms,1.000000,1
000000025228.png,flip_h,derotate_ms,1.000000,1
000000025228.png,flip_v,derotate_ms,1.000000,1
000000025228.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000027620.png,none,derotate_ms,1.000000,1
000000027620.png,rotate_15,derotate_ms,1.000000,1
000000027620.png,rotate_30,derotate_ms,1.000000,1
000000027620.png,rotate_45,derotate_ms,1.000000,1
000000027620.png,rotate_90,derotate_ms,1.000000,1
000000027620.png,rotate_180,derotate_ms,1.000000,1
000000027620.png,flip_h,derotate_ms,1.000000,1
000000027620.png,flip_v,derotate_ms,1.000000,1
000000027620.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000039405.png,none,derotate_ms,1.000000,1
000000039405.png,rotate_15,derotate_ms,1.000000,1
000000039405.png,rotate_30,derotate_ms,1.000000,1
000000039405.png,rotate_45,derotate_ms,1.000000,1
000000039405.png,rotate_90,derotate_ms,1.000000,1
000000039405.png,rotate_180,derotate_ms,1.000000,1
000000039405.png,flip_h,derotate_ms,1.000000,1
000000039405.png,flip_v,derotate_ms,1.000000,1
000000039405.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000075612.png,none,derotate_ms,1.000000,1
000000075612.png,rotate_15,derotate_ms,1.000000,1
000000075612.png,rotate_30,derotate_ms,1.000000,1
000000075612.png,rotate_45,derotate_ms,1.000000,1
000000075612.png,rotate_90,derotate_ms,1.000000,1
000000075612.png,rotate_180,derotate_ms,1.000000,1
000000075612.png,flip_h,derotate_ms,1.000000,1
000000075612.png,flip_v,derotate_ms,1.000000,1
000000075612.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000083531.png,none,derotate_ms,1.000000,1
000000083531.png,rotate_15,derotate_ms,1.000000,1
000000083531.png,rotate_30,derotate_ms,1.000000,1
000000083531.png,rotate_45,derotate_ms,1.000000,1
000000083531.png,rotate_90,derotate_ms,1.000000,1
000000083531.png,rotate_180,derotate_ms,1.000000,1
000000083531.png,flip_h,derotate_ms,1.000000,1
000000083531.png,flip_v,derotate_ms,1.000000,1
000000083531.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000088848.png,none,derotate_ms,1.000000,1
000000088848.png,rotate_15,derotate_ms,1.000000,1
000000088848.png,rotate_30,derotate_ms,1.000000,1
000000088848.png,rotate_45,derotate_ms,1.000000,1
000000088848.png,rotate_90,derotate_ms,1.000000,1
000000088848.png,rotate_180,derotate_ms,1.000000,1
000000088848.png,flip_h,derotate_ms,1.000000,1
000000088848.png,flip_v,derotate_ms,1.000000,1
000000088848.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000089648.png,none,derotate_ms,1.000000,1
000000089648.png,rotate_15,derotate_ms,1.000000,1
000000089648.png,rotate_30,derotate_ms,1.000000,1
000000089648.png,rotate_45,derotate_ms,1.000000,1
000000089648.png,rotate_90,derotate_ms,1.000000,1
000000089648.png,rotate_180,derotate_ms,1.000000,1
000000089648.png,flip_h,derotate_ms,1.000000,1
000000089648.png,flip_v,derotate_ms,1.000000,1
000000089648.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000092177.png,none,derotate_ms,1.000000,1
000000092177.png,rotate_15,derotate_ms,1.000000,1
000000092177.png,rotate_30,derotate_ms,1.000000,1
000000092177.png,rotate_45,derotate_ms,1.000000,1
000000092177.png,rotate_90,derotate_ms,1.000000,1
000000092177.png,rotate_180,derotate_ms,1.000000,1
000000092177.png,flip_h,derotate_ms,1.000000,1
000000092177.png,flip_v,derotate_ms,1.000000,1
000000092177.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000098392.png,none,derotate_ms,1.000000,1
000000098392.png,rotate_15,derotate_ms,1.000000,1
000000098392.png,rotate_30,derotate_ms,1.000000,1
000000098392.png,rotate_45,derotate_ms,1.000000,1
000000098392.png,rotate_90,derotate_ms,1.000000,1
000000098392.png,rotate_180,derotate_ms,1.000000,1
000000098392.png,flip_h,derotate_ms,1.000000,1
000000098392.png,flip_v,derotate_ms,1.000000,1
000000098392.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000098520.png,none,derotate_ms,1.000000,1
000000098520.png,rotate_15,derotate_ms,1.000000,1
000000098520.png,rotate_30,derotate_ms,1.000000,1
000000098520.png,rotate_45,derotate_ms,1.000000,1
000000098520.png,rotate_90,derotate_ms,1.000000,1
000000098520.png,rotate_180,derotate_ms,1.000000,1
000000098520.png,flip_h,derotate_ms,1.000000,1
000000098520.png,flip_v,derotate_ms,1.000000,1
000000098520.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000107554.png,none,derotate_ms,1.000000,1
000000107554.png,rotate_15,derotate_ms,1.000000,1
000000107554.png,rotate_30,derotate_ms,1.000000,1
000000107554.png,rotate_45,derotate_ms,1.000000,1
000000107554.png,rotate_90,derotate_ms,1.000000,1
000000107554.png,rotate_180,derotate_ms,1.000000,1
000000107554.png,flip_h,derotate_ms,1.000000,1
000000107554.png,flip_v,derotate_ms,1.000000,1
000000107554.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000121673.png,none,derotate_ms,1.000000,1
000000121673.png,rotate_15,derotate_ms,1.000000,1
000000121673.png,rotate_30,derotate_ms,1.000000,1
000000121673.png,rotate_45,derotate_ms,1.000000,1
000000121673.png,rotate_90,derotate_ms,1.000000,1
000000121673.png,rotate_180,derotate_ms,1.000000,1
000000121673.png,flip_h,derotate_ms,1.000000,1
000000121673.png,flip_v,derotate_ms,1.000000,1
000000121673.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000134322.png,none,derotate_ms,1.000000,1
000000134322.png,rotate_15,derotate_ms,1.000000,1
000000134322.png,rotate_30,derotate_ms,1.000000,1
000000134322.png,rotate_45,derotate_ms,1.000000,1
000000134322.png,rotate_90,derotate_ms,1.000000,1
000000134322.png,rotate_180,derotate_ms,1.000000,1
000000134322.png,flip_h,derotate_ms,1.000000,1
000000134322.png,flip_v,derotate_ms,1.000000,1
000000134322.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000150649.png,none,derotate_ms,1.000000,1
000000150649.png,rotate_15,derotate_ms,1.000000,1
000000150649.png,rotate_30,derotate_ms,1.000000,1
000000150649.png,rotate_45,derotate_ms,1.000000,1
000000150649.png,rotate_90,derotate_ms,1.000000,1
000000150649.png,rotate_180,derotate_ms,1.000000,1
000000150649.png,flip_h,derotate_ms,1.000000,1
000000150649.png,flip_v,derotate_ms,1.000000,1
000000150649.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000154000.png,none,derotate_ms,1.000000,1
000000154000.png,rotate_15,derotate_ms,1.000000,1
000000154000.png,rotate_30,derotate_ms,1.000000,1
000000154000.png,rotate_45,derotate_ms,1.000000,1
000000154000.png,rotate_90,derotate_ms,1.000000,1
000000154000.png,rotate_180,derotate_ms,1.000000,1
000000154000.png,flip_h,derotate_ms,1.000000,1
000000154000.png,flip_v,derotate_ms,1.000000,1
000000154000.png,rotate_45_crop_50,derotate_ms,1.000000,1
000000186632.png,none,derotate_ms,1.000000,1
000000186632.png,rotate_15,derotate_ms,1.000000,1
000000186632.png,rotate_30,derotate_ms,1.000000,1
000000186632.png,rotate_45,derotate_ms,1.000000,1
