image,attack,bit_accuracy,message_success
000000157098.png,none,1.000000,1
000000157098.png,center_crop_0.5,1.000000,1
000000157098.png,center_crop_0.75,1.000000,1
000000157098.png,random_crop_0.5,1.000000,1
000000157098.png,jpeg_q30,1.000000,1
000000157124.png,none,1.000000,1
000000157124.png,center_crop_0.5,1.000000,1
000000157124.png,center_crop_0.75,1.000000,1
000000157124.png,random_crop_0.5,0.800000,0
000000157124.png,jpeg_q30,1.000000,1
000000157138.png,none,1.000000,1
000000157138.png,center_crop_0.5,1.000000,1
000000157138.png,center_crop_0.75,1.000000,1
000000157138.png,random_crop_0.5,0.700000,0
000000157138.png,jpeg_q30,1.000000,1
000000157213.png,none,1.000000,1
000000157213.png,center_crop_0.5,1.000000,1
000000157213.png,center_crop_0.75,1.000000,1
000000157213.png,random_crop_0.5,0.700000,0
000000157213.png,jpeg_q30,1.000000,1
000000157365.png,none,1.000000,1
000000157365.png,center_crop_0.5,1.000000,1
000000157365.png,center_crop_0.75,1.000000,1
000000157365.png,random_crop_0.5,0.700000,0
000000157365.png,jpeg_q30,1.000000,1
000000157390.png,none,1.000000,1
000000157390.png,center_crop_0.5,1.000000,1
000000157390.png,center_crop_0.75,1.000000,1
000000157390.png,random_crop_0.5,0.800000,0
000000157390.png,jpeg_q30,1.000000,1
000000157418.png,none,1.000000,1
000000157418.png,center_crop_0.5,1.000000,1
000000157418.png,center_crop_0.75,1.000000,1
000000157418.png,random_crop_0.5,0.900000,0
000000157418.png,jpeg_q30,1.000000,1
000000157601.png,none,1.000000,1
000000157601.png,center_crop_0.5,1.000000,1
000000157601.png,center_crop_0.75,1.000000,1
000000157601.png,random_crop_0.5,0.700000,0
000000157601.png,jpeg_q30,1.000000,1
000000157756.png,none,1.000000,1
000000157756.png,center_crop_0.5,1.000000,1
000000157756.png,center_crop_0.75,1.000000,1
000000157756.png,random_crop_0.5,0.900000,0
000000157756.png,jpeg_q30,1.000000,1
000000157767.png,none,1.000000,1
000000157767.png,center_crop_0.5,1.000000,1
000000157767.png,center_crop_0.75,1.000000,1
000000157767.png,random_crop_0.5,0.700000,0
000000157767.png,jpeg_q30,1.000000,1
000000157807.png,none,1.000000,1
000000157807.png,center_crop_0.5,1.000000,1
000000157807.png,center_crop_0.75,1.000000,1
000000157807.png,random_crop_0.5,0.700000,0
000000157807.png,jpeg_q30,1.000000,1
000000157847.png,none,1.000000,1
000000157847.png,center_crop_0.5,1.000000,1
000000157847.png,center_crop_0.75,1.000000,1
000000157847.png,random_crop_0.5,0.900000,0
000000157847.png,jpeg_q30,1.000000,1
000000157928.png,none,1.000000,1
000000157928.png,center_crop_0.5,1.000000,1
000000157928.png,center_crop_0.75,1.000000,1
000000157928.png,random_crop_0.5,0.900000,0
000000157928.png,jpeg_q30,1.000000,1
000000158227.png,none,1.000000,1
000000158227.png,center_crop_0.5,1.000000,1
000000158227.png,center_crop_0.75,1.000000,1
000000158227.png,random_crop_0.5,0.700000,0
000000158227.png,jpeg_q30,1.000000,1
000000158548.png,none,1.000000,1
000000158548.png,center_crop_0.5,1.000000,1
000000158548.png,center_crop_0.75,1.000000,1
000000158548.png,random_crop_0.5,0.900000,0
000000158548.png,jpeg_q30,1.000000,1
000000158660.png,none,1.000000,1
000000158660.png,center_crop_0.5,1.000000,1
000000158660.png,center_crop_0.75,1.000000,1
000000158660.png,random_crop_0.5,0.900000,0
000000158660.png,jpeg_q30,1.000000,1
000000158744.png,none,1.000000,1
000000158744.png,center_crop_0.5,1.000000,1
000000158744.png,center_crop_0.75,1.000000,1
000000158744.png,random_crop_0.5,0.700000,0
000000158744.png,jpeg_q30,1.000000,1
000000158945.png,none,1.000000,1
000000158945.png,center_crop_0.5,1.000000,1
000000158945.png,center_crop_0.75,1.000000,1
000000158945.png,random_crop_0.5,0.700000,0
000000158945.png,jpeg_q30,1.000000,1
000000158956.png,none,1.000000,1
000000158956.png,center_crop_0.5,1.000000,1
000000158956.png,center_crop_0.75,1.000000,1
000000158956.png,random_crop_0.5,0.900000,0
000000158956.png,jpeg_q30,1.000000,1
000000159112.png,none,1.000000,1
000000159112.png,center_crop_0.5,1.000000,1
000000159112.png,center_crop_0.75,1.000000,1
000000159112.png,random_crop_0.5,0.900000,0
000000159112.png,jpeg_q30,1.000000,1
000000159282.png,none,1.000000,1
000000159282.png,center_crop_0.5,1.000000,1
000000159282.png,center_crop_0.75,1.000000,1
000000159282.png,random_crop_0.5,0.700000,0
000000159282.png,jpeg_q30,1.000000,1
000000159311.png,none,1.000000,1
000000159311.png,center_crop_0.5,1.000000,1
000000159311.png,center_crop_0.75,1.000000,1
000000159311.png,random_crop_0.5,0.700000,0
