scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.1727,0.702344,0.475000,0.725000,0.806250,0.856250,0.475000,0.593750,0.587500,0.837500,0.712500,0.750000
distributed_q10_9block,10,9,17.2339,0.591406,0.475000,0.593750,0.625000,0.643750,0.475000,0.593750,0.475000,0.693750,0.693750,0.531250
distributed_q20_5block,20,5,14.0992,0.792188,0.356250,0.937500,0.987500,0.987500,0.356250,0.593750,0.593750,1.000000,0.950000,0.868750
distributed_q20_9block,20,9,14.1285,0.776563,0.356250,0.912500,0.975000,0.975000,0.356250,0.593750,0.593750,0.956250,0.893750,0.868750
distributed_q25_5block,25,5,13.1330,0.772656,0.231250,0.975000,0.993750,1.000000,0.468750,0.231250,0.593750,1.000000,0.968750,0.925000
distributed_q25_9block,25,9,13.1250,0.812500,0.475000,0.950000,1.000000,1.000000,0.475000,0.593750,0.593750,0.987500,0.950000,0.900000
distributed_q30_5block,30,5,12.3228,0.806250,0.468750,0.981250,0.993750,1.000000,0.475000,0.468750,0.593750,1.000000,0.993750,0.925000
distributed_q30_9block,30,9,12.3381,0.820312,0.475000,0.962500,1.000000,1.000000,0.475000,0.593750,0.593750,0.993750,0.987500,0.918750
distributed_q50_5block,50,5,10.1257,0.832031,0.581250,1.000000,1.000000,1.000000,0.587500,0.581250,0.593750,1.000000,0.987500,0.906250
distributed_q50_9block,50,9,10.1333,0.791406,0.356250,1.000000,1.000000,1.000000,0.356250,0.468750,0.593750,1.000000,1.000000,0.912500
single_center_50pct,50,1,9.9565,0.817969,0.462500,1.000000,0.993750,0.993750,0.462500,0.593750,0.631250,1.000000,0.993750,0.875000
