scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
distributed_q50_s3.0,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.489583,0.437500,0.000000,23776.7,15.2049,3
distributed_q50_s3.0,three_sources_crop_feather,none,global_full_canvas,0.385417,0.343750,0.000000,308.0,15.2049,3
distributed_q50_s3.0,three_sources_crop_feather,none,localized_resize,0.437500,0.406250,0.000000,5046.0,15.2049,3
distributed_q50_s3.0,three_sources_crop_feather,none,oracle_box_raw,0.437500,0.406250,0.000000,5046.0,15.2049,3
distributed_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,15.2049,3
distributed_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.520833,0.437500,0.000000,24757.7,15.2049,3
distributed_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.520833,0.437500,0.000000,24757.7,15.2049,3
distributed_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.312500,0.000000,0.000000,19837.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.312500,0.000000,0.000000,19837.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.479167,0.406250,0.000000,33296.7,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.479167,0.406250,0.000000,33296.7,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,none,localized_resize,0.447917,0.343750,0.000000,16297.7,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,none,oracle_box_raw,0.447917,0.343750,0.000000,16297.7,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.395833,0.343750,0.000000,33095.0,17.3188,3
distributed_q50_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.395833,0.343750,0.000000,33095.0,17.3188,3
distributed_q50_s3.0,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,jpeg_q50,localized_resize,0.984375,0.968750,0.500000,36199.5,15.9300,2
distributed_q50_s3.0,two_sources_downsize,jpeg_q50,oracle_box_raw,0.984375,0.968750,0.500000,36199.5,15.9300,2
distributed_q50_s3.0,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,jpeg_q70,localized_resize,0.984375,0.968750,0.500000,35048.5,15.9300,2
distributed_q50_s3.0,two_sources_downsize,jpeg_q70,oracle_box_raw,0.984375,0.968750,0.500000,35048.5,15.9300,2
distributed_q50_s3.0,two_sources_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,none,localized_resize,1.000000,1.000000,1.000000,33629.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,33629.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,resize_0.5_jpeg70,localized_resize,0.984375,0.968750,0.500000,36767.0,15.9300,2
distributed_q50_s3.0,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.984375,0.968750,0.500000,36767.0,15.9300,2
full_material_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.416667,0.406250,0.000000,21298.0,12.6963,3
full_material_s2.5,three_sources_crop_feather,jpeg_q50,localized_resize,0.750000,0.625000,0.000000,38537.3,12.6963,3
full_material_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.750000,0.625000,0.000000,38537.3,12.6963,3
full_material_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.406250,0.375000,0.000000,21090.0,12.6963,3
full_material_s2.5,three_sources_crop_feather,jpeg_q70,localized_resize,0.833333,0.750000,0.000000,56330.7,12.6963,3
full_material_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.833333,0.750000,0.000000,56330.7,12.6963,3
full_material_s2.5,three_sources_crop_feather,none,global_full_canvas,0.406250,0.375000,0.000000,19850.0,12.6963,3
full_material_s2.5,three_sources_crop_feather,none,localized_resize,0.812500,0.625000,0.000000,55944.0,12.6963,3
full_material_s2.5,three_sources_crop_feather,none,oracle_box_raw,0.812500,0.625000,0.000000,55944.0,12.6963,3
full_material_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.416667,0.406250,0.000000,22065.0,12.6963,3
