image,scheme,scaling_w,area_percent,block_count,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
trex_bike.jpg,dwsf_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,1001001001,0.900000,0,10010010111000001111010000001001,10010010011001001101010000001000,0.875000,42.5009,10.1569,20339,0
trex_bike.jpg,dwsf_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,42.5009,11.1329,16349,0
trex_bike.jpg,dwsf_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,42.5009,29.8497,13364,0
trex_bike.jpg,dwsf_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001101010000000001,0.937500,42.5009,28.5603,13893,0
trex_bike.jpg,dwsf_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,42.5009,24.5494,16911,0
alpaca.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,none,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,39.2720,39.2720,20140,0
alpaca.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,crop_bottom_right_50,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,39.2720,9.9114,19981,0
alpaca.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,crop_center_50,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000110100000011100011111010,0.906250,39.2720,9.5313,15972,0
alpaca.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,jpeg_q30,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,39.2720,25.6336,20233,0
alpaca.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,jpeg_q20,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,39.2720,24.7245,20151,0
alpaca.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,resize_0.25_jpeg_q50,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,39.2720,19.6881,20150,0
ducks.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,none,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,44.5486,44.5486,18881,0
ducks.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,crop_bottom_right_50,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,44.5486,11.3033,19735,0
ducks.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,crop_center_50,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,44.5486,10.8257,15513,0
ducks.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,jpeg_q30,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,44.5486,32.6373,17832,0
ducks.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,jpeg_q20,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,44.5486,31.3220,16735,0
ducks.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,resize_0.25_jpeg_q50,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,44.5486,28.8668,18657,0
gauguin_256.jpg,dwsf_q30_5block,2.5000,30,5,rep3_adjacent10,none,1001001011,1001001011,1.000000,1,11100000011100000011100011111110,11100000011100000011100011111110,1.000000,42.7735,42.7735,19734,0
