image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000134322.png,0.5,random_crop_0.5,0.500000,0,10.6092,7.9944
000000134322.png,0.5,jpeg_q30,1.000000,1,10.6092,12.9577
000000150649.png,0.5,none,1.000000,1,9.8152,9.8152
000000150649.png,0.5,center_crop_0.5,0.500000,0,9.8152,6.7299
000000150649.png,0.5,center_crop_0.75,0.593750,0,9.8152,7.3906
000000150649.png,0.5,random_crop_0.5,0.500000,0,9.8152,7.6849
000000150649.png,0.5,jpeg_q30,1.000000,1,9.8152,12.8595
000000154000.png,0.5,none,1.000000,1,10.3718,10.3718
000000154000.png,0.5,center_crop_0.5,0.500000,0,10.3718,6.2151
000000154000.png,0.5,center_crop_0.75,0.750000,0,10.3718,7.2580
000000154000.png,0.5,random_crop_0.5,0.437500,0,10.3718,6.8325
000000154000.png,0.5,jpeg_q30,1.000000,1,10.3718,12.9829
000000186632.png,0.5,none,1.000000,1,10.1860,10.1860
000000186632.png,0.5,center_crop_0.5,0.500000,0,10.1860,7.1500
000000186632.png,0.5,center_crop_0.75,0.625000,0,10.1860,7.6259
000000186632.png,0.5,random_crop_0.5,0.437500,0,10.1860,7.4648
000000186632.png,0.5,jpeg_q30,1.000000,1,10.1860,12.9014
000000201775.png,0.5,none,1.000000,1,9.8451,9.8451
000000201775.png,0.5,center_crop_0.5,0.500000,0,9.8451,6.6920
000000201775.png,0.5,center_crop_0.75,0.531250,0,9.8451,7.1625
000000201775.png,0.5,random_crop_0.5,0.500000,0,9.8451,8.1285
000000201775.png,0.5,jpeg_q30,1.000000,1,9.8451,12.9708
000000205647.png,0.5,none,1.000000,1,9.9815,9.9815
000000205647.png,0.5,center_crop_0.5,0.500000,0,9.9815,7.1636
000000205647.png,0.5,center_crop_0.75,0.562500,0,9.9815,7.5442
000000205647.png,0.5,random_crop_0.5,0.531250,0,9.9815,7.5992
000000205647.png,0.5,jpeg_q30,1.000000,1,9.9815,12.7983
000000207306.png,0.5,none,1.000000,1,10.2220,10.2220
000000207306.png,0.5,center_crop_0.5,0.500000,0,10.2220,6.6376
000000207306.png,0.5,center_crop_0.75,0.687500,0,10.2220,7.6339
000000207306.png,0.5,random_crop_0.5,0.500000,0,10.2220,7.4119
000000207306.png,0.5,jpeg_q30,1.000000,1,10.2220,12.9861
000000210299.png,0.5,none,1.000000,1,10.0383,10.0383
000000210299.png,0.5,center_crop_0.5,0.500000,0,10.0383,6.9072
000000210299.png,0.5,center_crop_0.75,0.625000,0,10.0383,7.5263
000000210299.png,0.5,random_crop_0.5,0.500000,0,10.0383,6.9790
000000210299.png,0.5,jpeg_q30,1.000000,1,10.0383,12.9460
000000219440.png,0.5,none,1.000000,1,10.4365,10.4365
000000219440.png,0.5,center_crop_0.5,0.500000,0,10.4365,7.2414
000000219440.png,0.5,center_crop_0.75,0.687500,0,10.4365,7.9562
