mode,image,message,predicted,bit_accuracy,psnr,mask_ratio,num_detected_messages
single,alpaca.jpg,11001100011110100101101111001011,11001100011110100101101111001011,1.000000,38.8986,0.5,
single,ducks.jpg,11001100011110100101101111001011,11001100011110100101101111001011,1.000000,43.1886,0.5,
single,gauguin_256.jpg,11001100011110100101101111001011,11001100011110100101101111001011,1.000000,42.0654,0.5,
multi,alpaca.jpg,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101110100111001001011010,1.000000,42.3100,0.1,2
multi,ducks.jpg,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,46.1306,0.1,2
multi,gauguin_256.jpg,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,45.8596,0.1,2
