image,attack,bit_accuracy,message_success
000000274066.png,none,1.000000,1
000000274066.png,center_crop_0.5,1.000000,1
000000274066.png,center_crop_0.75,1.000000,1
000000274066.png,random_crop_0.5,1.000000,1
000000274066.png,jpeg_q30,1.000000,1
000000274219.png,none,1.000000,1
000000274219.png,center_crop_0.5,1.000000,1
000000274219.png,center_crop_0.75,1.000000,1
000000274219.png,random_crop_0.5,0.700000,0
000000274219.png,jpeg_q30,1.000000,1
000000274272.png,none,1.000000,1
000000274272.png,center_crop_0.5,1.000000,1
000000274272.png,center_crop_0.75,1.000000,1
000000274272.png,random_crop_0.5,0.700000,0
000000274272.png,jpeg_q30,1.000000,1
000000274411.png,none,1.000000,1
000000274411.png,center_crop_0.5,1.000000,1
000000274411.png,center_crop_0.75,1.000000,1
000000274411.png,random_crop_0.5,0.700000,0
000000274411.png,jpeg_q30,1.000000,1
000000274460.png,none,1.000000,1
000000274460.png,center_crop_0.5,1.000000,1
000000274460.png,center_crop_0.75,1.000000,1
000000274460.png,random_crop_0.5,0.900000,0
000000274460.png,jpeg_q30,1.000000,1
000000274687.png,none,1.000000,1
000000274687.png,center_crop_0.5,1.000000,1
000000274687.png,center_crop_0.75,1.000000,1
000000274687.png,random_crop_0.5,0.800000,0
000000274687.png,jpeg_q30,1.000000,1
000000274708.png,none,1.000000,1
000000274708.png,center_crop_0.5,1.000000,1
000000274708.png,center_crop_0.75,1.000000,1
000000274708.png,random_crop_0.5,0.800000,0
000000274708.png,jpeg_q30,1.000000,1
000000275058.png,none,1.000000,1
000000275058.png,center_crop_0.5,1.000000,1
000000275058.png,center_crop_0.75,1.000000,1
000000275058.png,random_crop_0.5,0.900000,0
000000275058.png,jpeg_q30,1.000000,1
000000275198.png,none,1.000000,1
000000275198.png,center_crop_0.5,1.000000,1
000000275198.png,center_crop_0.75,1.000000,1
000000275198.png,random_crop_0.5,0.700000,0
000000275198.png,jpeg_q30,1.000000,1
000000275392.png,none,1.000000,1
000000275392.png,center_crop_0.5,1.000000,1
000000275392.png,center_crop_0.75,1.000000,1
000000275392.png,random_crop_0.5,0.700000,0
000000275392.png,jpeg_q30,1.000000,1
000000275727.png,none,1.000000,1
000000275727.png,center_crop_0.5,1.000000,1
000000275727.png,center_crop_0.75,1.000000,1
000000275727.png,random_crop_0.5,0.900000,0
000000275727.png,jpeg_q30,1.000000,1
000000275749.png,none,1.000000,1
000000275749.png,center_crop_0.5,1.000000,1
000000275749.png,center_crop_0.75,1.000000,1
000000275749.png,random_crop_0.5,0.900000,0
000000275749.png,jpeg_q30,1.000000,1
000000275791.png,none,1.000000,1
000000275791.png,center_crop_0.5,1.000000,1
000000275791.png,center_crop_0.75,1.000000,1
000000275791.png,random_crop_0.5,0.800000,0
000000275791.png,jpeg_q30,1.000000,1
000000276018.png,none,1.000000,1
000000276018.png,center_crop_0.5,1.000000,1
000000276018.png,center_crop_0.75,1.000000,1
000000276018.png,random_crop_0.5,0.700000,0
000000276018.png,jpeg_q30,1.000000,1
000000276024.png,none,1.000000,1
