image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000022705.png,0.8,random_crop_0.5,0.500000,0,8.1360,7.5285
000000022705.png,0.8,jpeg_q30,1.000000,1,8.1360,11.0050
000000022705.png,0.9,none,1.000000,1,7.6251,7.6251
000000022705.png,0.9,center_crop_0.5,0.500000,0,7.6251,7.0201
000000022705.png,0.9,center_crop_0.75,0.812500,0,7.6251,7.1536
000000022705.png,0.9,random_crop_0.5,0.437500,0,7.6251,6.7919
000000022705.png,0.9,jpeg_q30,1.000000,1,7.6251,10.4744
000000022705.png,1.0,none,1.000000,1,7.1583,7.1583
000000022705.png,1.0,center_crop_0.5,0.500000,0,7.1583,7.0201
000000022705.png,1.0,center_crop_0.75,0.812500,0,7.1583,7.1536
000000022705.png,1.0,random_crop_0.5,0.500000,0,7.1583,7.6813
000000022705.png,1.0,jpeg_q30,1.000000,1,7.1583,9.9161
000000025228.png,0.5,none,1.000000,1,10.1158,10.1158
000000025228.png,0.5,center_crop_0.5,0.500000,0,10.1158,7.5830
000000025228.png,0.5,center_crop_0.75,0.656250,0,10.1158,8.0249
000000025228.png,0.5,random_crop_0.5,0.500000,0,10.1158,7.1109
000000025228.png,0.5,jpeg_q30,1.000000,1,10.1158,12.8826
000000025228.png,0.6,none,1.000000,1,9.3163,9.3163
000000025228.png,0.6,center_crop_0.5,0.500000,0,9.3163,7.5830
000000025228.png,0.6,center_crop_0.75,0.812500,0,9.3163,7.5481
000000025228.png,0.6,random_crop_0.5,0.531250,0,9.3163,8.9007
000000025228.png,0.6,jpeg_q30,1.000000,1,9.3163,12.1217
000000025228.png,0.7,none,1.000000,1,8.6186,8.6186
000000025228.png,0.7,center_crop_0.5,0.500000,0,8.6186,7.5830
000000025228.png,0.7,center_crop_0.75,0.812500,0,8.6186,7.5481
000000025228.png,0.7,random_crop_0.5,0.500000,0,8.6186,7.8151
000000025228.png,0.7,jpeg_q30,1.000000,1,8.6186,11.4643
