scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.1394,0.662500,0.350000,0.687500,0.718750,0.737500,0.593750,0.593750,0.350000,0.856250,0.731250,0.718750
distributed_q10_9block,10,9,17.2607,0.530469,0.356250,0.593750,0.593750,0.600000,0.475000,0.475000,0.356250,0.681250,0.531250,0.531250
distributed_q20_5block,20,5,14.0970,0.805469,0.468750,0.918750,0.981250,0.987500,0.468750,0.593750,0.581250,0.981250,0.950000,0.900000
distributed_q20_9block,20,9,14.1731,0.753125,0.356250,0.912500,0.975000,0.987500,0.475000,0.593750,0.356250,0.943750,0.893750,0.800000
distributed_q25_5block,25,5,13.1513,0.790625,0.356250,0.968750,0.993750,1.000000,0.581250,0.356250,0.475000,1.000000,0.993750,0.925000
distributed_q25_9block,25,9,13.1697,0.765625,0.356250,0.943750,1.000000,1.000000,0.475000,0.475000,0.356250,0.987500,0.950000,0.881250
distributed_q30_5block,30,5,12.3430,0.837500,0.593750,0.993750,1.000000,1.000000,0.593750,0.593750,0.593750,1.000000,1.000000,0.918750
distributed_q30_9block,30,9,12.3932,0.801562,0.475000,0.956250,1.000000,1.000000,0.475000,0.593750,0.475000,1.000000,0.987500,0.881250
distributed_q50_5block,50,5,10.1785,0.835156,0.587500,1.000000,1.000000,1.000000,0.593750,0.587500,0.593750,1.000000,1.000000,0.906250
distributed_q50_9block,50,9,10.2231,0.762500,0.237500,1.000000,1.000000,1.000000,0.237500,0.475000,0.475000,1.000000,1.000000,0.912500
single_center_50pct,50,1,10.1487,0.832031,0.587500,1.000000,0.962500,0.987500,0.593750,0.587500,0.643750,0.993750,0.993750,0.893750
