scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.3248,0.680469,0.593750,0.656250,0.718750,0.712500,0.593750,0.593750,0.593750,0.818750,0.731250,0.681250
distributed_q10_9block,10,9,17.3064,0.581250,0.475000,0.600000,0.612500,0.606250,0.593750,0.475000,0.475000,0.650000,0.612500,0.625000
distributed_q20_5block,20,5,14.2362,0.809375,0.587500,0.937500,0.993750,0.993750,0.593750,0.593750,0.587500,0.943750,0.906250,0.862500
distributed_q20_9block,20,9,14.2255,0.782031,0.475000,0.893750,0.950000,0.975000,0.593750,0.475000,0.593750,0.962500,0.887500,0.818750
distributed_q25_5block,25,5,13.2604,0.826563,0.587500,0.975000,0.987500,1.000000,0.587500,0.593750,0.593750,0.975000,0.968750,0.906250
distributed_q25_9block,25,9,13.2086,0.809375,0.475000,0.943750,1.000000,1.000000,0.593750,0.475000,0.593750,0.993750,0.956250,0.862500
distributed_q30_5block,30,5,12.4414,0.814063,0.468750,0.987500,1.000000,1.000000,0.468750,0.593750,0.593750,0.993750,0.987500,0.875000
distributed_q30_9block,30,9,12.4167,0.814844,0.475000,0.975000,0.993750,0.993750,0.593750,0.475000,0.593750,0.993750,0.987500,0.887500
distributed_q50_5block,50,5,10.2354,0.832812,0.587500,1.000000,1.000000,1.000000,0.587500,0.587500,0.593750,1.000000,0.993750,0.900000
distributed_q50_9block,50,9,10.2178,0.816406,0.475000,1.000000,0.993750,1.000000,0.587500,0.475000,0.593750,1.000000,0.993750,0.887500
single_center_50pct,50,1,10.0744,0.829688,0.581250,1.000000,0.975000,0.993750,0.581250,0.593750,0.631250,1.000000,0.987500,0.875000
