scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.1735,0.601562,0.231250,0.718750,0.743750,0.787500,0.231250,0.475000,0.343750,0.787500,0.725000,0.718750
distributed_q10_9block,10,9,17.2779,0.520312,0.106250,0.581250,0.612500,0.612500,0.475000,0.493750,0.106250,0.681250,0.662500,0.518750
distributed_q20_5block,20,5,14.1275,0.737500,0.237500,0.925000,0.968750,0.981250,0.462500,0.237500,0.481250,0.968750,0.925000,0.875000
distributed_q20_9block,20,9,14.1782,0.719531,0.231250,0.893750,0.950000,0.962500,0.231250,0.456250,0.462500,0.956250,0.875000,0.862500
distributed_q25_5block,25,5,13.1607,0.710156,0.106250,0.962500,0.987500,0.993750,0.243750,0.106250,0.481250,1.000000,0.968750,0.900000
distributed_q25_9block,25,9,13.1761,0.748437,0.350000,0.937500,0.987500,1.000000,0.350000,0.468750,0.350000,0.987500,0.925000,0.918750
distributed_q30_5block,30,5,12.3527,0.742188,0.250000,0.975000,0.981250,0.987500,0.250000,0.343750,0.475000,1.000000,0.987500,0.912500
distributed_q30_9block,30,9,12.3950,0.771094,0.362500,0.937500,0.987500,0.993750,0.468750,0.362500,0.468750,0.993750,0.981250,0.912500
distributed_q50_5block,50,5,10.1761,0.775000,0.362500,1.000000,1.000000,1.000000,0.487500,0.362500,0.450000,1.000000,1.000000,0.900000
distributed_q50_9block,50,9,10.2226,0.729688,0.225000,0.987500,0.993750,1.000000,0.237500,0.225000,0.468750,1.000000,1.000000,0.912500
single_center_50pct,50,1,10.1315,0.826562,0.587500,1.000000,0.968750,0.981250,0.587500,0.587500,0.631250,0.993750,0.975000,0.887500
