image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000158227.png,random_crop_0.5,single_scale,0.531250,0,10.0031,7.1552,1.0
000000158227.png,jpeg_q30,single_scale,1.000000,1,10.0031,12.9038,1.0
000000158548.png,none,single_scale,1.000000,1,9.8010,9.8010,1.0
000000158548.png,center_crop_0.5,single_scale,0.500000,0,9.8010,6.6486,1.0
000000158548.png,center_crop_0.75,single_scale,0.531250,0,9.8010,7.5907,1.0
000000158548.png,random_crop_0.5,single_scale,0.500000,0,9.8010,6.9742,1.0
000000158548.png,jpeg_q30,single_scale,1.000000,1,9.8010,12.9700,1.0
000000158660.png,none,single_scale,1.000000,1,10.0041,10.0041,1.0
000000158660.png,center_crop_0.5,single_scale,0.500000,0,10.0041,6.3821,1.0
000000158660.png,center_crop_0.75,single_scale,0.531250,0,10.0041,7.6364,1.0
000000158660.png,random_crop_0.5,single_scale,0.562500,0,10.0041,7.4348,1.0
000000158660.png,jpeg_q30,single_scale,1.000000,1,10.0041,12.8539,1.0
000000158744.png,none,single_scale,1.000000,1,10.7380,10.7380,1.0
000000158744.png,center_crop_0.5,single_scale,0.500000,0,10.7380,7.7113,1.0
000000158744.png,center_crop_0.75,single_scale,0.500000,0,10.7380,9.0888,1.0
000000158744.png,random_crop_0.5,single_scale,0.500000,0,10.7380,7.5792,1.0
000000158744.png,jpeg_q30,single_scale,0.968750,0,10.7380,12.9359,1.0
000000158945.png,none,single_scale,1.000000,1,10.1281,10.1281,1.0
000000158945.png,center_crop_0.5,single_scale,0.500000,0,10.1281,6.7404,1.0
000000158945.png,center_crop_0.75,single_scale,0.531250,0,10.1281,7.4479,1.0
000000158945.png,random_crop_0.5,single_scale,0.593750,0,10.1281,6.7987,1.0
000000158945.png,jpeg_q30,single_scale,1.000000,1,10.1281,12.9460,1.0
000000158956.png,none,single_scale,1.000000,1,10.3003,10.3003,1.0
000000158956.png,center_crop_0.5,single_scale,0.500000,0,10.3003,7.2074,1.0
000000158956.png,center_crop_0.75,single_scale,0.531250,0,10.3003,8.1189,1.0
