scheme,selector,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,41.0139,0.948438,0.881250,1.000000,0.993750,1.000000,0.925000,0.950000,0.968750,0.925000,0.881250,0.943750
adaptive_q30_5block_low_residual,low_residual,43.6530,0.890625,0.675000,1.000000,1.000000,1.000000,0.925000,0.943750,0.868750,0.812500,0.675000,0.900000
adaptive_q30_5block_random,random,41.5479,0.912500,0.706250,1.000000,1.000000,1.000000,0.950000,0.900000,0.925000,0.893750,0.706250,0.925000
adaptive_q30_5block_texture_top,texture_top,40.1578,0.935937,0.731250,1.000000,1.000000,1.000000,0.956250,0.981250,0.950000,0.931250,0.731250,0.937500
fixed_q30_5block,fixed_anchor,42.0139,0.945312,0.906250,1.000000,1.000000,1.000000,0.906250,0.956250,0.931250,0.912500,0.906250,0.950000
