image,scheme,tamper,localizer,message,predicted,bit_accuracy,mask_pixels,tamper_coverage,global_precision,global_recall,global_f1,global_iou,covered_precision,covered_recall,covered_f1,covered_iou,psnr_watermarked,psnr_tampered
000000005529.png,distributed_q30_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14950,0.316406,0.973491,0.316040,0.477169,0.313343,0.973491,0.998843,0.986003,0.972394,12.4487,13.7725
000000005529.png,distributed_q30_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15038,0.300903,0.989489,0.298767,0.458956,0.297822,0.989489,0.992901,0.991191,0.982537,12.4487,13.6106
000000005529.png,distributed_q30_5block,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15038,0.305786,0.982619,0.303650,0.463934,0.302028,0.982619,0.993014,0.987789,0.975873,12.4487,13.6106
000000005529.png,distributed_q30_5block,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15038,0.308105,0.982617,0.307068,0.467913,0.305409,0.982617,0.996632,0.989575,0.979365,12.4487,13.6106
000000005529.png,distributed_q30_5block,black_center_25,expected_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16111,0.234619,0.994052,0.234619,0.379635,0.234290,0.994052,1.000000,0.997017,0.994052,12.4487,8.3610
000000005529.png,distributed_q30_5block,black_center_25,clean_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16111,0.247009,0.985151,0.247009,0.394983,0.246093,0.985151,1.000000,0.992519,0.985151,12.4487,8.3610
000000005529.png,distributed_q30_5block,black_center_25,prob_drop,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16111,0.251282,0.986849,0.247314,0.395510,0.246502,0.986849,0.984212,0.985528,0.971470,12.4487,8.3610
000000005529.png,distributed_q50_5block,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25541,0.461182,0.984503,0.453674,0.621124,0.450458,0.984503,0.983722,0.984112,0.968721,10.2812,11.3668
000000005529.png,distributed_q50_5block,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25541,0.548523,0.971930,0.541016,0.695106,0.532692,0.971930,0.986314,0.979068,0.958996,10.2812,11.3668
000000005529.png,distributed_q50_5block,remove_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25541,0.561951,0.969868,0.555969,0.706781,0.546529,0.969868,0.989356,0.979515,0.959852,10.2812,11.3668
000000005529.png,distributed_q50_5block,remove_center_40,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22091,0.420058,0.995275,0.409351,0.580107,0.408557,0.995275,0.974510,0.984783,0.970023,10.2812,11.9798
000000005529.png,distributed_q50_5block,remove_center_40,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22091,0.482663,0.988034,0.471955,0.638782,0.469273,0.988034,0.977816,0.982898,0.966373,10.2812,11.9798
000000005529.png,distributed_q50_5block,remove_center_40,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22091,0.492036,0.983811,0.486283,0.650856,0.482422,0.983811,0.988306,0.986053,0.972491,10.2812,11.9798
000000005529.png,distributed_q50_5block,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25572,0.498108,0.996210,0.497314,0.663436,0.496375,0.996210,0.998407,0.997307,0.994629,10.2812,11.5437
000000005529.png,distributed_q50_5block,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25572,0.523682,0.961612,0.522888,0.677420,0.512197,0.961612,0.998485,0.979701,0.960211,10.2812,11.5437
000000005529.png,distributed_q50_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25572,0.528381,0.954435,0.528015,0.679896,0.515032,0.954435,0.999307,0.976355,0.953804,10.2812,11.5437
000000005529.png,distributed_q50_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25297,0.498108,0.997303,0.496460,0.662917,0.495794,0.997303,0.996692,0.996996,0.994012,10.2812,11.4509
000000005529.png,distributed_q50_5block,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25297,0.542664,0.958270,0.541016,0.691581,0.528563,0.958270,0.996963,0.977233,0.955481,10.2812,11.4509
000000005529.png,distributed_q50_5block,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25297,0.548157,0.946568,0.547119,0.693432,0.530728,0.946568,0.998107,0.971654,0.944872,10.2812,11.4509
000000005529.png,distributed_q50_5block,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34540,0.461182,1.000000,0.002014,0.004020,0.002014,1.000000,0.004367,0.008697,0.004367,10.2812,7.6316
000000005529.png,distributed_q50_5block,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34540,0.548523,0.845679,0.016724,0.032799,0.016673,0.845679,0.030488,0.058855,0.030320,10.2812,7.6316
000000005529.png,distributed_q50_5block,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34540,0.561951,0.994473,0.274536,0.430286,0.274118,0.994473,0.488541,0.655207,0.487218,10.2812,7.6316
000000021167.png,single_center_50pct,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,18111,1.000000,0.992762,0.996155,0.994455,0.988972,0.992762,0.996155,0.994455,0.988972,10.4124,13.3989
000000021167.png,single_center_50pct,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,18111,1.000000,0.981537,0.996155,0.988791,0.977832,0.981537,0.996155,0.988791,0.977832,10.4124,13.3989
000000021167.png,single_center_50pct,remove_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,18111,1.000000,0.963114,0.997620,0.980062,0.960905,0.963114,0.997620,0.980062,0.960905,10.4124,13.3989
000000021167.png,single_center_50pct,remove_center_40,expected_missing,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,8848,1.000000,0.998493,0.984911,0.991655,0.983449,0.998493,0.984911,0.991655,0.983449,10.4124,17.2076
000000021167.png,single_center_50pct,remove_center_40,clean_missing,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,8848,1.000000,0.993619,0.984911,0.989245,0.978720,0.993619,0.984911,0.989245,0.978720,10.4124,17.2076
000000021167.png,single_center_50pct,remove_center_40,prob_drop,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,8848,1.000000,0.988868,0.995123,0.991985,0.984098,0.988868,0.995123,0.991985,0.984098,10.4124,17.2076
000000021167.png,single_center_50pct,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25796,0.505432,0.988642,0.504700,0.668256,0.501790,0.988642,0.998551,0.993571,0.987225,10.4124,11.8350
000000021167.png,single_center_50pct,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25796,0.536499,0.962500,0.535767,0.688362,0.524812,0.962500,0.998635,0.980234,0.961235,10.4124,11.8350
000000021167.png,single_center_50pct,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25796,0.539246,0.941352,0.538818,0.685350,0.521318,0.941352,0.999208,0.969417,0.940650,10.4124,11.8350
000000021167.png,single_center_50pct,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25925,0.505432,0.995786,0.504761,0.669934,0.503685,0.995786,0.998672,0.997226,0.994468,10.4124,11.6359
000000021167.png,single_center_50pct,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25925,0.537537,0.977442,0.536865,0.693062,0.530295,0.977442,0.998751,0.987981,0.976249,10.4124,11.6359
000000021167.png,single_center_50pct,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25925,0.543030,0.969998,0.542664,0.695968,0.533706,0.969998,0.999326,0.984443,0.969363,10.4124,11.6359
000000021167.png,single_center_50pct,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34562,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.4124,11.4571
