image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000001268.png,random_crop_0.5,0.7,0,rep3,10
000000001268.png,jpeg_q30,1.0,1,rep3,10
000000001268.png,jpeg_q10,1.0,1,rep3,10
000000001268.png,jpeg_q5,1.0,1,rep3,10
000000001268.png,resize_0.5,1.0,1,rep3,10
000000001268.png,resize_0.25,0.9,0,rep3,10
000000001268.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001296.png,none,1.0,1,rep3,10
000000001296.png,center_crop_0.5,1.0,1,rep3,10
000000001296.png,center_crop_0.75,1.0,1,rep3,10
000000001296.png,random_crop_0.5,0.9,0,rep3,10
000000001296.png,jpeg_q30,1.0,1,rep3,10
000000001296.png,jpeg_q10,1.0,1,rep3,10
000000001296.png,jpeg_q5,1.0,1,rep3,10
000000001296.png,resize_0.5,1.0,1,rep3,10
000000001296.png,resize_0.25,0.9,0,rep3,10
000000001296.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001353.png,none,1.0,1,rep3,10
000000001353.png,center_crop_0.5,1.0,1,rep3,10
000000001353.png,center_crop_0.75,1.0,1,rep3,10
000000001353.png,random_crop_0.5,0.9,0,rep3,10
000000001353.png,jpeg_q30,1.0,1,rep3,10
000000001353.png,jpeg_q10,1.0,1,rep3,10
000000001353.png,jpeg_q5,1.0,1,rep3,10
000000001353.png,resize_0.5,1.0,1,rep3,10
000000001353.png,resize_0.25,1.0,1,rep3,10
000000001353.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001425.png,none,1.0,1,rep3,10
000000001425.png,center_crop_0.5,1.0,1,rep3,10
000000001425.png,center_crop_0.75,1.0,1,rep3,10
000000001425.png,random_crop_0.5,0.8,0,rep3,10
000000001425.png,jpeg_q30,1.0,1,rep3,10
000000001425.png,jpeg_q10,1.0,1,rep3,10
000000001425.png,jpeg_q5,1.0,1,rep3,10
000000001425.png,resize_0.5,1.0,1,rep3,10
000000001425.png,resize_0.25,1.0,1,rep3,10
000000001425.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001490.png,none,1.0,1,rep3,10
000000001490.png,center_crop_0.5,1.0,1,rep3,10
000000001490.png,center_crop_0.75,1.0,1,rep3,10
000000001490.png,random_crop_0.5,0.8,0,rep3,10
000000001490.png,jpeg_q30,1.0,1,rep3,10
000000001490.png,jpeg_q10,1.0,1,rep3,10
000000001490.png,jpeg_q5,1.0,1,rep3,10
000000001490.png,resize_0.5,1.0,1,rep3,10
000000001490.png,resize_0.25,1.0,1,rep3,10
000000001490.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001503.png,none,1.0,1,rep3,10
000000001503.png,center_crop_0.5,1.0,1,rep3,10
000000001503.png,center_crop_0.75,1.0,1,rep3,10
000000001503.png,random_crop_0.5,0.9,0,rep3,10
000000001503.png,jpeg_q30,1.0,1,rep3,10
000000001503.png,jpeg_q10,1.0,1,rep3,10
000000001503.png,jpeg_q5,1.0,1,rep3,10
000000001503.png,resize_0.5,1.0,1,rep3,10
000000001503.png,resize_0.25,1.0,1,rep3,10
000000001503.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001532.png,none,1.0,1,rep3,10
000000001532.png,center_crop_0.5,1.0,1,rep3,10
000000001532.png,center_crop_0.75,1.0,1,rep3,10
000000001532.png,random_crop_0.5,0.7,0,rep3,10
000000001532.png,jpeg_q30,1.0,1,rep3,10
000000001532.png,jpeg_q10,1.0,1,rep3,10
000000001532.png,jpeg_q5,1.0,1,rep3,10
000000001532.png,resize_0.5,1.0,1,rep3,10
000000001532.png,resize_0.25,1.0,1,rep3,10
000000001532.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001584.png,none,1.0,1,rep3,10
000000001584.png,center_crop_0.5,1.0,1,rep3,10
000000001584.png,center_crop_0.75,1.0,1,rep3,10
000000001584.png,random_crop_0.5,0.7,0,rep3,10
000000001584.png,jpeg_q30,1.0,1,rep3,10
000000001584.png,jpeg_q10,1.0,1,rep3,10
000000001584.png,jpeg_q5,1.0,1,rep3,10
000000001584.png,resize_0.5,1.0,1,rep3,10
000000001584.png,resize_0.25,1.0,1,rep3,10
000000001584.png,crop_50_jpeg_30,1.0,1,rep3,10
000000001675.png,none,1.0,1,rep3,10
000000001675.png,center_crop_0.5,1.0,1,rep3,10
000000001675.png,center_crop_0.75,1.0,1,rep3,10
000000001675.png,random_crop_0.5,0.9,0,rep3,10
000000001675.png,jpeg_q30,1.0,1,rep3,10
000000001675.png,jpeg_q10,1.0,1,rep3,10
000000001675.png,jpeg_q5,1.0,1,rep3,10
