image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000089648.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000089648.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000089648.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000089648.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000092177.png,none,1.000000,1,rep3_interleaved,10
000000092177.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000092177.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000092177.png,random_crop_0.5,0.700000,0,rep3_interleaved,10
000000092177.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000092177.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000092177.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000092177.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000092177.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000092177.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000098392.png,none,1.000000,1,rep3_interleaved,10
000000098392.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000098392.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000098392.png,random_crop_0.5,1.000000,1,rep3_interleaved,10
000000098392.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000098392.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000098392.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000098392.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000098392.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000098392.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000098520.png,none,1.000000,1,rep3_interleaved,10
000000098520.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000098520.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000098520.png,random_crop_0.5,0.700000,0,rep3_interleaved,10
000000098520.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000098520.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000098520.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000098520.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000098520.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000098520.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000107554.png,none,1.000000,1,rep3_interleaved,10
000000107554.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000107554.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000107554.png,random_crop_0.5,0.800000,0,rep3_interleaved,10
000000107554.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000107554.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000107554.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000107554.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000107554.png,resize_0.25,0.900000,0,rep3_interleaved,10
000000107554.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
