image,attack,method,bit_accuracy,message_success
000000025228.png,rotate_137,fourier,0.500000,0
000000025228.png,rotate_180,fourier,1.000000,1
000000025228.png,flip_h,fourier,0.625000,0
000000025228.png,flip_v,fourier,0.468750,0
000000025228.png,rotate_45_crop_50,fourier,0.406250,0
000000027620.png,none,fourier,1.000000,1
000000027620.png,rotate_17,fourier,0.531250,0
000000027620.png,rotate_23,fourier,0.500000,0
000000027620.png,rotate_38,fourier,0.531250,0
000000027620.png,rotate_52,fourier,0.500000,0
000000027620.png,rotate_73,fourier,0.500000,0
000000027620.png,rotate_90,fourier,0.406250,0
000000027620.png,rotate_137,fourier,0.500000,0
000000027620.png,rotate_180,fourier,1.000000,1
000000027620.png,flip_h,fourier,0.625000,0
000000027620.png,flip_v,fourier,0.500000,0
000000027620.png,rotate_45_crop_50,fourier,0.437500,0
000000039405.png,none,fourier,1.000000,1
000000039405.png,rotate_17,fourier,0.531250,0
000000039405.png,rotate_23,fourier,0.500000,0
000000039405.png,rotate_38,fourier,0.500000,0
000000039405.png,rotate_52,fourier,0.500000,0
000000039405.png,rotate_73,fourier,0.406250,0
000000039405.png,rotate_90,fourier,0.406250,0
000000039405.png,rotate_137,fourier,0.500000,0
000000039405.png,rotate_180,fourier,1.000000,1
000000039405.png,flip_h,fourier,0.812500,0
000000039405.png,flip_v,fourier,0.500000,0
000000039405.png,rotate_45_crop_50,fourier,0.500000,0
000000075612.png,none,fourier,1.000000,1
000000075612.png,rotate_17,fourier,0.531250,0
000000075612.png,rotate_23,fourier,0.500000,0
000000075612.png,rotate_38,fourier,0.500000,0
000000075612.png,rotate_52,fourier,0.500000,0
000000075612.png,rotate_73,fourier,0.406250,0
000000075612.png,rotate_90,fourier,0.406250,0
000000075612.png,rotate_137,fourier,0.500000,0
000000075612.png,rotate_180,fourier,1.000000,1
000000075612.png,flip_h,fourier,0.593750,0
000000075612.png,flip_v,fourier,0.500000,0
000000075612.png,rotate_45_crop_50,fourier,0.500000,0
000000083531.png,none,fourier,1.000000,1
000000083531.png,rotate_17,fourier,0.500000,0
000000083531.png,rotate_23,fourier,0.500000,0
000000083531.png,rotate_38,fourier,0.500000,0
000000083531.png,rotate_52,fourier,0.437500,0
000000083531.png,rotate_73,fourier,0.437500,0
000000083531.png,rotate_90,fourier,0.406250,0
000000083531.png,rotate_137,fourier,0.500000,0
000000083531.png,rotate_180,fourier,1.000000,1
000000083531.png,flip_h,fourier,0.562500,0
000000083531.png,flip_v,fourier,0.562500,0
000000083531.png,rotate_45_crop_50,fourier,0.437500,0
000000088848.png,none,fourier,1.000000,1
000000088848.png,rotate_17,fourier,0.500000,0
000000088848.png,rotate_23,fourier,0.500000,0
000000088848.png,rotate_38,fourier,0.500000,0
000000088848.png,rotate_52,fourier,0.437500,0
000000088848.png,rotate_73,fourier,0.406250,0
000000088848.png,rotate_90,fourier,0.406250,0
000000088848.png,rotate_137,fourier,0.500000,0
000000088848.png,rotate_180,fourier,1.000000,1
000000088848.png,flip_h,fourier,0.593750,0
000000088848.png,flip_v,fourier,0.500000,0
000000088848.png,rotate_45_crop_50,fourier,0.406250,0
000000089648.png,none,fourier,1.000000,1
000000089648.png,rotate_17,fourier,0.500000,0
000000089648.png,rotate_23,fourier,0.500000,0
000000089648.png,rotate_38,fourier,0.500000,0
000000089648.png,rotate_52,fourier,0.375000,0
000000089648.png,rotate_73,fourier,0.406250,0
000000089648.png,rotate_90,fourier,0.406250,0
000000089648.png,rotate_137,fourier,0.500000,0
000000089648.png,rotate_180,fourier,1.000000,1
000000089648.png,flip_h,fourier,0.625000,0
000000089648.png,flip_v,fourier,0.468750,0
000000089648.png,rotate_45_crop_50,fourier,0.437500,0
000000092177.png,none,fourier,1.000000,1
000000092177.png,rotate_17,fourier,0.531250,0
000000092177.png,rotate_23,fourier,0.500000,0
000000092177.png,rotate_38,fourier,0.500000,0
000000092177.png,rotate_52,fourier,0.500000,0
000000092177.png,rotate_73,fourier,0.437500,0
000000092177.png,rotate_90,fourier,0.406250,0
000000092177.png,rotate_137,fourier,0.500000,0
000000092177.png,rotate_180,fourier,1.000000,1
000000092177.png,flip_h,fourier,0.656250,0
000000092177.png,flip_v,fourier,0.500000,0
000000092177.png,rotate_45_crop_50,fourier,0.500000,0
000000098392.png,none,fourier,1.000000,1
000000098392.png,rotate_17,fourier,0.500000,0
000000098392.png,rotate_23,fourier,0.500000,0
