scheme,mean_msg_a_accuracy,mean_msg_b_accuracy,both_success_rate,mean_slot_a_pixels,mean_slot_b_pixels,mean_psnr_watermarked
disjoint_append_side_regions,0.966667,0.952083,0.800000,18580.7,14011.5,39.0893
overlap_replace_same_region,0.522917,0.958333,0.000000,17692.0,17692.0,42.0668
