scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.0995,0.699219,0.587500,0.700000,0.756250,0.756250,0.593750,0.593750,0.587500,0.831250,0.756250,0.718750
distributed_q10_9block,10,9,17.1622,0.579688,0.356250,0.593750,0.656250,0.643750,0.593750,0.593750,0.356250,0.743750,0.656250,0.393750
distributed_q20_5block,20,5,14.0322,0.813281,0.587500,0.918750,0.981250,0.993750,0.593750,0.587500,0.587500,0.975000,0.943750,0.843750
distributed_q20_9block,20,9,14.0697,0.803906,0.593750,0.900000,0.968750,0.975000,0.593750,0.593750,0.593750,0.962500,0.893750,0.850000
distributed_q25_5block,25,5,13.0743,0.810938,0.475000,0.968750,0.993750,1.000000,0.475000,0.593750,0.587500,0.987500,0.950000,0.900000
distributed_q25_9block,25,9,13.0646,0.826562,0.593750,0.937500,1.000000,1.000000,0.593750,0.593750,0.593750,0.981250,0.962500,0.887500
distributed_q30_5block,30,5,12.2583,0.817188,0.475000,0.975000,0.987500,1.000000,0.475000,0.593750,0.587500,1.000000,0.993750,0.900000
distributed_q30_9block,30,9,12.2825,0.828125,0.587500,0.943750,1.000000,1.000000,0.587500,0.593750,0.593750,1.000000,0.956250,0.893750
distributed_q50_5block,50,5,10.0706,0.818750,0.468750,1.000000,1.000000,1.000000,0.468750,0.587500,0.593750,1.000000,0.993750,0.906250
distributed_q50_9block,50,9,10.1051,0.817969,0.475000,1.000000,1.000000,1.000000,0.475000,0.587500,0.587500,1.000000,0.993750,0.900000
single_center_50pct,50,1,9.9778,0.826563,0.581250,1.000000,0.968750,0.987500,0.581250,0.593750,0.625000,1.000000,0.987500,0.868750
