attack,mean_bit_accuracy,message_success_rate,num_samples,method
rotate_327,0.937500,0.0000,1,angle_scan
rotate_330,1.000000,1.0000,1,angle_scan
rotate_337,0.953125,0.0000,2,angle_scan
rotate_339,0.984375,0.5000,2,angle_scan
rotate_34,0.953125,0.0000,2,angle_scan
rotate_343,0.937500,0.0000,1,angle_scan
rotate_344,0.937500,0.0000,1,angle_scan
rotate_345,0.968750,0.0000,4,angle_scan
rotate_347,0.937500,0.0000,1,angle_scan
rotate_348,0.968750,0.0000,1,angle_scan
rotate_35,0.937500,0.0000,1,angle_scan
rotate_350,1.000000,1.0000,1,angle_scan
rotate_351,1.000000,1.0000,1,angle_scan
rotate_38,0.968750,0.0000,1,angle_scan
rotate_4,0.875000,0.0000,1,angle_scan
rotate_40,1.000000,1.0000,1,angle_scan
rotate_43,0.968750,0.0000,1,angle_scan
rotate_44,0.937500,0.0000,1,angle_scan
rotate_45_crop_50,1.000000,1.0000,50,angle_scan
rotate_47,0.937500,0.0000,1,angle_scan
rotate_50,1.000000,1.0000,1,angle_scan
rotate_51,1.000000,1.0000,1,angle_scan
rotate_52,0.953125,0.0000,2,angle_scan
rotate_53,0.937500,0.0000,1,angle_scan
rotate_54,0.937500,0.0000,1,angle_scan
rotate_59,1.000000,1.0000,1,angle_scan
rotate_61,1.000000,1.0000,2,angle_scan
rotate_62,0.937500,0.0000,1,angle_scan
rotate_74,0.906250,0.0000,1,angle_scan
rotate_8,0.953125,0.0000,2,angle_scan
rotate_80,1.000000,1.0000,1,angle_scan
rotate_85,0.937500,0.0000,1,angle_scan
rotate_88,0.937500,0.0000,1,angle_scan
rotate_96,0.937500,0.0000,1,angle_scan
rotate_97,0.937500,0.0000,1,angle_scan
rotate_98,1.000000,1.0000,1,angle_scan
