attack,baseline_mean_acc,baseline_success,preprocess_mean_acc,preprocess_success,num_samples,method
none,1.000000,1.0000,0,0,50,preprocess_ms
random_crop_0.5,0.697500,0.0000,0.713750,0.0000,50,preprocess_ms
