image,attack,method,preprocess,bit_accuracy,message_success
000000358427.png,random_crop_0.5,preprocess_ms,none,0.718750,0
000000358427.png,random_crop_0.5,preprocess_ms,best:denoise,0.750000,0
000000360137.png,none,preprocess_ms,none,1.000000,1
000000360137.png,random_crop_0.5,preprocess_ms,none,0.781250,0
000000360137.png,random_crop_0.5,preprocess_ms,best:none,0.781250,0
000000397681.png,none,preprocess_ms,none,1.000000,1
000000397681.png,random_crop_0.5,preprocess_ms,none,0.718750,0
000000397681.png,random_crop_0.5,preprocess_ms,best:none,0.718750,0
000000400573.png,none,preprocess_ms,none,1.000000,1
000000400573.png,random_crop_0.5,preprocess_ms,none,0.781250,0
000000400573.png,random_crop_0.5,preprocess_ms,best:unsharp_mask,0.812500,0
000000401250.png,none,preprocess_ms,none,1.000000,1
000000401250.png,random_crop_0.5,preprocess_ms,none,0.625000,0
000000401250.png,random_crop_0.5,preprocess_ms,best:none,0.625000,0
000000426372.png,none,preprocess_ms,none,1.000000,1
000000426372.png,random_crop_0.5,preprocess_ms,none,0.531250,0
000000426372.png,random_crop_0.5,preprocess_ms,best:none,0.531250,0
000000437351.png,none,preprocess_ms,none,1.000000,1
000000437351.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000437351.png,random_crop_0.5,preprocess_ms,best:none,0.656250,0
000000477805.png,none,preprocess_ms,none,1.000000,1
000000477805.png,random_crop_0.5,preprocess_ms,none,0.750000,0
000000477805.png,random_crop_0.5,preprocess_ms,best:none,0.750000,0
000000508730.png,none,preprocess_ms,none,1.000000,1
000000508730.png,random_crop_0.5,preprocess_ms,none,0.687500,0
000000508730.png,random_crop_0.5,preprocess_ms,best:none,0.687500,0
000000517056.png,none,preprocess_ms,none,1.000000,1
000000517056.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000517056.png,random_crop_0.5,preprocess_ms,best:none,0.656250,0
000000517687.png,none,preprocess_ms,none,1.000000,1
000000517687.png,random_crop_0.5,preprocess_ms,none,0.687500,0
000000517687.png,random_crop_0.5,preprocess_ms,best:none,0.687500,0
000000523957.png,none,preprocess_ms,none,1.000000,1
000000523957.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000523957.png,random_crop_0.5,preprocess_ms,best:none,0.656250,0
000000533145.png,none,preprocess_ms,none,1.000000,1
000000533145.png,random_crop_0.5,preprocess_ms,none,0.875000,0
000000533145.png,random_crop_0.5,preprocess_ms,best:none,0.875000,0
000000562243.png,none,preprocess_ms,none,1.000000,1
000000562243.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000562243.png,random_crop_0.5,preprocess_ms,best:sharpen_2x,0.687500,0
000000563470.png,none,preprocess_ms,none,1.000000,1
000000563470.png,random_crop_0.5,preprocess_ms,none,0.687500,0
000000563470.png,random_crop_0.5,preprocess_ms,best:sharpen_1x,0.718750,0
000000573258.png,none,preprocess_ms,none,1.000000,1
000000573258.png,random_crop_0.5,preprocess_ms,none,0.781250,0
000000573258.png,random_crop_0.5,preprocess_ms,best:sharpen_2x,0.843750,0
000000575243.png,none,preprocess_ms,none,1.000000,1
000000575243.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000575243.png,random_crop_0.5,preprocess_ms,best:contrast_1.5,0.687500,0
