image,scheme,tamper,localizer,message,predicted,bit_accuracy,mask_pixels,tamper_coverage,global_precision,global_recall,global_f1,global_iou,covered_precision,covered_recall,covered_f1,covered_iou,psnr_watermarked,psnr_tampered
alpaca.jpg,dwsf_q30_5block,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14993,0.306444,0.995004,0.301538,0.462818,0.301082,0.995004,0.983992,0.989467,0.979154,39.2498,40.0500
alpaca.jpg,dwsf_q30_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14993,0.311773,0.991450,0.308987,0.471142,0.308166,0.991450,0.991064,0.991257,0.982666,39.2498,40.0500
alpaca.jpg,dwsf_q30_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15199,0.297490,0.984842,0.291769,0.450170,0.290465,0.984842,0.980769,0.982801,0.966185,39.2498,40.4960
alpaca.jpg,dwsf_q30_5block,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15199,0.302227,0.997930,0.296506,0.457175,0.296324,0.997930,0.981071,0.989428,0.979078,39.2498,40.4960
alpaca.jpg,dwsf_q30_5block,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15199,0.306225,0.995966,0.303765,0.465541,0.303391,0.995966,0.991965,0.993961,0.987995,39.2498,40.4960
alpaca.jpg,dwsf_q30_5block,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,16007,0.242263,0.989776,0.242263,0.389251,0.241659,0.989776,1.000000,0.994861,0.989776,39.2498,11.3427
alpaca.jpg,dwsf_q30_5block,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,16007,0.247513,1.000000,0.247513,0.396810,0.247513,1.000000,1.000000,0.999999,1.000000,39.2498,11.3427
alpaca.jpg,dwsf_q30_5block,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,16007,0.251846,1.000000,0.250931,0.401190,0.250931,1.000000,0.996365,0.998178,0.996365,39.2498,11.3427
alpaca.jpg,dwsf_q50_5block,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25088,0.466886,0.979851,0.457120,0.623408,0.452863,0.979851,0.979082,0.979466,0.959759,36.8851,37.8603
alpaca.jpg,dwsf_q50_5block,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25088,0.466703,0.978562,0.456937,0.622976,0.452408,0.978562,0.979074,0.978817,0.958515,36.8851,37.8603
