image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000230983.png,random_crop_0.5,multi_scale,0.687500,0,10.3032,7.4189,0.50
000000230983.png,jpeg_q30,single_scale,1.000000,1,10.3032,12.9698,1.0
000000230983.png,jpeg_q30,multi_scale,1.000000,1,10.3032,12.9698,1.00
000000230993.png,none,single_scale,1.000000,1,10.4432,10.4432,1.0
000000230993.png,none,multi_scale,1.000000,1,10.4432,10.4432,1.00
000000230993.png,center_crop_0.5,single_scale,0.500000,0,10.4432,6.3703,1.0
000000230993.png,center_crop_0.5,multi_scale,1.000000,1,10.4432,6.3703,0.50
000000230993.png,center_crop_0.75,single_scale,0.531250,0,10.4432,7.4643,1.0
000000230993.png,center_crop_0.75,multi_scale,1.000000,1,10.4432,7.4643,0.75
000000230993.png,random_crop_0.5,single_scale,0.500000,0,10.4432,7.4006,1.0
000000230993.png,random_crop_0.5,multi_scale,0.781250,0,10.4432,7.4006,0.50
000000230993.png,jpeg_q30,single_scale,1.000000,1,10.4432,12.8260,1.0
000000230993.png,jpeg_q30,multi_scale,1.000000,1,10.4432,12.8260,1.00
000000231088.png,none,single_scale,1.000000,1,9.7321,9.7321,1.0
000000231088.png,none,multi_scale,1.000000,1,9.7321,9.7321,1.00
000000231088.png,center_crop_0.5,single_scale,0.500000,0,9.7321,7.0398,1.0
000000231088.png,center_crop_0.5,multi_scale,1.000000,1,9.7321,7.0398,0.50
000000231088.png,center_crop_0.75,single_scale,0.531250,0,9.7321,7.6827,1.0
000000231088.png,center_crop_0.75,multi_scale,1.000000,1,9.7321,7.6827,0.75
000000231088.png,random_crop_0.5,single_scale,0.562500,0,9.7321,8.7476,1.0
000000231088.png,random_crop_0.5,multi_scale,0.593750,0,9.7321,8.7476,0.50
000000231088.png,jpeg_q30,single_scale,1.000000,1,9.7321,12.8173,1.0
000000231088.png,jpeg_q30,multi_scale,1.000000,1,9.7321,12.8173,1.00
000000231097.png,none,single_scale,1.000000,1,10.7147,10.7147,1.0
000000231097.png,none,multi_scale,1.000000,1,10.7147,10.7147,1.00
000000231097.png,center_crop_0.5,single_scale,0.500000,0,10.7147,8.5036,1.0
000000231097.png,center_crop_0.5,multi_scale,1.000000,1,10.7147,8.5036,0.50
000000231097.png,center_crop_0.75,single_scale,0.500000,0,10.7147,9.6268,1.0
000000231097.png,center_crop_0.75,multi_scale,1.000000,1,10.7147,9.6268,0.75
000000231097.png,random_crop_0.5,single_scale,0.500000,0,10.7147,9.2456,1.0
000000231097.png,random_crop_0.5,multi_scale,0.718750,0,10.7147,9.2456,0.50
000000231097.png,jpeg_q30,single_scale,1.000000,1,10.7147,13.0397,1.0
000000231097.png,jpeg_q30,multi_scale,1.000000,1,10.7147,13.0397,1.00
000000231125.png,none,single_scale,1.000000,1,10.2955,10.2955,1.0
000000231125.png,none,multi_scale,1.000000,1,10.2955,10.2955,1.00
000000231125.png,center_crop_0.5,single_scale,0.500000,0,10.2955,6.9777,1.0
000000231125.png,center_crop_0.5,multi_scale,1.000000,1,10.2955,6.9777,0.50
000000231125.png,center_crop_0.75,single_scale,0.531250,0,10.2955,7.8125,1.0
000000231125.png,center_crop_0.75,multi_scale,1.000000,1,10.2955,7.8125,0.75
000000231125.png,random_crop_0.5,single_scale,0.468750,0,10.2955,7.3318,1.0
000000231125.png,random_crop_0.5,multi_scale,0.781250,0,10.2955,7.3318,0.50
000000231125.png,jpeg_q30,single_scale,1.000000,1,10.2955,12.8565,1.0
000000231125.png,jpeg_q30,multi_scale,1.000000,1,10.2955,12.8565,1.00
000000231169.png,none,single_scale,1.000000,1,9.7887,9.7887,1.0
000000231169.png,none,multi_scale,1.000000,1,9.7887,9.7887,1.00
000000231169.png,center_crop_0.5,single_scale,0.500000,0,9.7887,6.5058,1.0
000000231169.png,center_crop_0.5,multi_scale,1.000000,1,9.7887,6.5058,0.50
000000231169.png,center_crop_0.75,single_scale,0.625000,0,9.7887,7.0128,1.0
000000231169.png,center_crop_0.75,multi_scale,1.000000,1,9.7887,7.0128,0.75
000000231169.png,random_crop_0.5,single_scale,0.437500,0,9.7887,7.4900,1.0
000000231169.png,random_crop_0.5,multi_scale,0.781250,0,9.7887,7.4900,0.50
000000231169.png,jpeg_q30,single_scale,1.000000,1,9.7887,12.8714,1.0
000000231169.png,jpeg_q30,multi_scale,1.000000,1,9.7887,12.8714,1.00
000000231237.png,none,single_scale,1.000000,1,10.2107,10.2107,1.0
000000231237.png,none,multi_scale,1.000000,1,10.2107,10.2107,1.00
000000231237.png,center_crop_0.5,single_scale,0.500000,0,10.2107,7.1029,1.0
000000231237.png,center_crop_0.5,multi_scale,1.000000,1,10.2107,7.1029,0.50
000000231237.png,center_crop_0.75,single_scale,0.531250,0,10.2107,8.1533,1.0
000000231237.png,center_crop_0.75,multi_scale,1.000000,1,10.2107,8.1533,0.75
000000231237.png,random_crop_0.5,single_scale,0.500000,0,10.2107,8.0824,1.0
000000231237.png,random_crop_0.5,multi_scale,0.687500,0,10.2107,8.0824,0.50
000000231237.png,jpeg_q30,single_scale,1.000000,1,10.2107,12.9422,1.0
000000231237.png,jpeg_q30,multi_scale,1.000000,1,10.2107,12.9422,1.00
000000231339.png,none,single_scale,1.000000,1,10.1530,10.1530,1.0
000000231339.png,none,multi_scale,1.000000,1,10.1530,10.1530,1.00
000000231339.png,center_crop_0.5,single_scale,0.500000,0,10.1530,7.0846,1.0
000000231339.png,center_crop_0.5,multi_scale,1.000000,1,10.1530,7.0846,0.50
000000231339.png,center_crop_0.75,single_scale,0.531250,0,10.1530,8.2542,1.0
000000231339.png,center_crop_0.75,multi_scale,1.000000,1,10.1530,8.2542,0.75
000000231339.png,random_crop_0.5,single_scale,0.593750,0,10.1530,6.8194,1.0
000000231339.png,random_crop_0.5,multi_scale,0.656250,0,10.1530,6.8194,0.50
000000231339.png,jpeg_q30,single_scale,1.000000,1,10.1530,12.9481,1.0
000000231339.png,jpeg_q30,multi_scale,1.000000,1,10.1530,12.9481,1.00
000000231508.png,none,single_scale,1.000000,1,9.9796,9.9796,1.0
000000231508.png,none,multi_scale,1.000000,1,9.9796,9.9796,1.00
000000231508.png,center_crop_0.5,single_scale,0.500000,0,9.9796,6.8800,1.0
000000231508.png,center_crop_0.5,multi_scale,1.000000,1,9.9796,6.8800,0.50
000000231508.png,center_crop_0.75,single_scale,0.500000,0,9.9796,7.5539,1.0
000000231508.png,center_crop_0.75,multi_scale,1.000000,1,9.9796,7.5539,0.75
000000231508.png,random_crop_0.5,single_scale,0.500000,0,9.9796,7.0783,1.0
000000231508.png,random_crop_0.5,multi_scale,0.843750,0,9.9796,7.0783,0.50
000000231508.png,jpeg_q30,single_scale,1.000000,1,9.9796,12.9891,1.0
000000231508.png,jpeg_q30,multi_scale,1.000000,1,9.9796,12.9891,1.00
000000231527.png,none,single_scale,1.000000,1,10.3830,10.3830,1.0
000000231527.png,none,multi_scale,1.000000,1,10.3830,10.3830,1.00
000000231527.png,center_crop_0.5,single_scale,0.500000,0,10.3830,6.1845,1.0
000000231527.png,center_crop_0.5,multi_scale,1.000000,1,10.3830,6.1845,0.50
000000231527.png,center_crop_0.75,single_scale,0.562500,0,10.3830,7.2791,1.0
