scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.385417,0.343750,0.000000,2557.7,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.395833,0.312500,0.000000,2196.7,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,none,global_full_canvas,0.447917,0.406250,0.000000,2394.0,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,27707.3,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,27791.3,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.458333,0.437500,0.000000,2791.0,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.447917,0.281250,0.000000,3933.7,41.8768,3
dwsf_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.406250,0.281250,0.000000,3677.7,41.8768,3
dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.395833,0.343750,0.000000,202.0,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.104167,0.000000,0.000000,993.7,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.104167,0.000000,0.000000,1007.3,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.406250,0.343750,0.000000,3434.0,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.354167,0.312500,0.000000,5545.3,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.375000,0.312500,0.000000,5273.3,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,none,global_full_canvas,0.406250,0.312500,0.000000,3193.0,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,29605.0,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,29524.7,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.364583,0.343750,0.000000,3598.0,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.114583,0.000000,0.000000,79.7,44.1711,3
dwsf_q50_s3.0,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.125000,0.000000,0.000000,79.3,44.1711,3
dwsf_q50_s3.0,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,jpeg_q50,must_mer_resize,0.375000,0.312500,0.000000,7798.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,jpeg_q50,oracle_box_raw,0.390625,0.375000,0.000000,8334.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,jpeg_q70,must_mer_resize,0.562500,0.468750,0.000000,10156.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,jpeg_q70,oracle_box_raw,0.609375,0.468750,0.000000,11310.5,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,32669.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,32750.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.281250,0.000000,0.000000,7795.0,41.9351,2
dwsf_q50_s3.0,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.265625,0.000000,0.000000,8345.5,41.9351,2
full_material_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.302083,0.000000,0.000000,4044.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.270833,0.000000,0.000000,3368.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.427083,0.375000,0.000000,2583.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.333333,0.000000,0.000000,1794.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.239583,0.000000,0.000000,1715.3,39.5349,3
full_material_s2.5,three_sources_crop_feather,none,global_full_canvas,0.447917,0.406250,0.000000,533.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,61335.7,39.5349,3
full_material_s2.5,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,61340.3,39.5349,3
full_material_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.406250,0.375000,0.000000,774.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.510417,0.437500,0.000000,3451.0,39.5349,3
full_material_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.458333,0.437500,0.000000,2338.7,39.5349,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.395833,0.343750,0.000000,1442.0,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.291667,0.000000,0.000000,227.0,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.156250,0.000000,0.000000,198.3,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.395833,0.343750,0.000000,3851.0,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.458333,0.375000,0.000000,6208.7,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.427083,0.343750,0.000000,6105.0,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0.375000,0.281250,0.000000,3454.0,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,64733.3,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,64730.7,42.0175,3
