code_mode,scheme,scenario,attack,decode_method,mean_payload_accuracy,payload_success_rate,codebook_top1_match_rate,codebook_strict_match_rate,mean_target_hamming,mean_best_hamming,mean_hamming_margin,num_source_rows
rep4_adjacent_8bit,full_material_s3.0,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.437500,0.000000,0.500000,0.500000,18.000,16.000,4.000,2
rep4_adjacent_8bit,full_material_s3.0,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.750000,0.000000,1.000000,1.000000,11.500,11.500,10.000,2
rep4_adjacent_8bit,full_material_s3.0,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.687500,0.000000,1.000000,1.000000,12.500,12.500,8.000,2
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.458333,0.000000,0.333333,0.000000,16.667,16.000,0.667,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.458333,0.000000,0.333333,0.000000,16.667,16.000,0.667,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.541667,0.000000,1.000000,0.666667,14.333,14.333,2.667,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.625000,0.000000,1.000000,0.666667,13.667,13.667,2.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.583333,0.000000,0.666667,0.333333,15.000,15.000,1.333,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.541667,0.000000,0.666667,0.333333,15.333,15.333,0.667,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.500000,0.000000,0.333333,0.333333,16.000,12.000,6.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,single_center50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
