image,attack,method,selected_branch,message,predicted,bit_accuracy,message_success,selected_confidence,psnr_vs_original
alpaca.jpg,resize_0.5_jpeg_q50,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999432,23.3766
alpaca.jpg,resize_0.25_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999439,19.6792
alpaca.jpg,resize_0.25_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999441,19.6792
alpaca.jpg,resize_0.25_jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999441,19.6792
alpaca.jpg,resize_0.25_jpeg_q50,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999441,19.6792
alpaca.jpg,jpeg_q50_then_q30,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999449,24.6821
alpaca.jpg,jpeg_q50_then_q30,mbrs_confidence_select,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999452,24.6821
alpaca.jpg,jpeg_q50_then_q30,mbrs_similarity_select,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999452,24.6821
alpaca.jpg,jpeg_q50_then_q30,oracle_best_branch,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999452,24.6821
ducks.jpg,jpeg_q95,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998523,42.3204
ducks.jpg,jpeg_q95,mbrs_confidence_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998528,42.3204
ducks.jpg,jpeg_q95,mbrs_similarity_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998528,42.3204
ducks.jpg,jpeg_q95,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998528,42.3204
ducks.jpg,jpeg_q85,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998336,42.7775
ducks.jpg,jpeg_q85,mbrs_confidence_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998486,42.7775
ducks.jpg,jpeg_q85,mbrs_similarity_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998486,42.7775
ducks.jpg,jpeg_q85,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998486,42.7775
ducks.jpg,jpeg_q75,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998420,36.7573
ducks.jpg,jpeg_q75,mbrs_confidence_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998500,36.7573
ducks.jpg,jpeg_q75,mbrs_similarity_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998500,36.7573
ducks.jpg,jpeg_q75,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998500,36.7573
ducks.jpg,jpeg_q65,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998387,34.3270
ducks.jpg,jpeg_q65,mbrs_confidence_select,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998394,34.3270
ducks.jpg,jpeg_q65,mbrs_similarity_select,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998394,34.3270
ducks.jpg,jpeg_q65,oracle_best_branch,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998394,34.3270
ducks.jpg,jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997909,33.8281
