attack,mean_bit_accuracy,message_success_rate,num_samples
flip_h,0.646250,0.0000,50
flip_v,0.518125,0.0000,50
none,0.998750,0.9600,50
rotate_15,0.556875,0.0000,50
rotate_180,0.621875,0.0000,50
rotate_30,0.501875,0.0000,50
rotate_45,0.540000,0.0000,50
rotate_45_crop_50,0.506875,0.0000,50
rotate_90,0.506250,0.0000,50
