scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.4015,0.684375,0.475000,0.712500,0.787500,0.831250,0.587500,0.475000,0.475000,0.875000,0.718750,0.725000
distributed_q10_9block,10,9,17.4913,0.577344,0.356250,0.600000,0.643750,0.662500,0.593750,0.593750,0.356250,0.718750,0.656250,0.393750
distributed_q20_5block,20,5,14.2668,0.824219,0.593750,0.943750,0.993750,1.000000,0.593750,0.593750,0.593750,1.000000,0.925000,0.893750
distributed_q20_9block,20,9,14.3416,0.774219,0.475000,0.893750,0.975000,0.981250,0.593750,0.475000,0.475000,0.956250,0.893750,0.843750
distributed_q25_5block,25,5,13.2717,0.800781,0.356250,0.993750,0.987500,1.000000,0.593750,0.356250,0.587500,1.000000,0.987500,0.893750
distributed_q25_9block,25,9,13.3192,0.807813,0.475000,0.937500,1.000000,1.000000,0.593750,0.475000,0.600000,0.975000,0.943750,0.875000
distributed_q30_5block,30,5,12.4326,0.800781,0.475000,0.981250,0.987500,0.993750,0.593750,0.475000,0.475000,1.000000,1.000000,0.881250
distributed_q30_9block,30,9,12.5188,0.813281,0.475000,0.950000,0.981250,1.000000,0.593750,0.593750,0.475000,0.987500,0.968750,0.906250
distributed_q50_5block,50,5,10.1937,0.828125,0.562500,1.000000,1.000000,1.000000,0.575000,0.562500,0.600000,1.000000,0.993750,0.893750
distributed_q50_9block,50,9,10.2765,0.817969,0.475000,1.000000,0.987500,1.000000,0.581250,0.475000,0.587500,1.000000,0.993750,0.918750
single_center_50pct,50,1,10.0137,0.825781,0.581250,1.000000,0.956250,0.968750,0.581250,0.593750,0.643750,0.993750,0.987500,0.881250
