method,attack,mean_bit_accuracy,message_success_rate,num_samples
single_scale,center_crop_0.5,0.501250,0.0000,50
single_scale,center_crop_0.75,0.530625,0.0000,50
single_scale,jpeg_q30,0.997500,0.9200,50
single_scale,none,0.999375,0.9800,50
single_scale,random_crop_0.5,0.513750,0.0000,50
