image,attack,method,bit_accuracy,message_success
000000154000.png,flip_h,hierarchical,0.656250,0
000000154000.png,flip_v,hierarchical,0.500000,0
000000154000.png,rotate_45_crop_50,hierarchical,1.000000,1
000000186632.png,none,hierarchical,1.000000,1
000000186632.png,rotate_213,hierarchical,0.562500,0
000000186632.png,rotate_34,hierarchical,0.562500,0
000000186632.png,rotate_226,hierarchical,1.000000,1
000000186632.png,flip_h,hierarchical,0.625000,0
000000186632.png,flip_v,hierarchical,0.500000,0
000000186632.png,rotate_45_crop_50,hierarchical,1.000000,1
000000201775.png,none,hierarchical,1.000000,1
000000201775.png,rotate_256,hierarchical,0.687500,0
000000201775.png,rotate_4,hierarchical,1.000000,1
000000201775.png,rotate_217,hierarchical,0.656250,0
000000201775.png,flip_h,hierarchical,0.625000,0
000000201775.png,flip_v,hierarchical,0.500000,0
000000201775.png,rotate_45_crop_50,hierarchical,1.000000,1
000000205647.png,none,hierarchical,1.000000,1
000000205647.png,rotate_206,hierarchical,0.593750,0
000000205647.png,rotate_14,hierarchical,0.593750,0
000000205647.png,rotate_345,hierarchical,0.562500,0
000000205647.png,flip_h,hierarchical,0.625000,0
000000205647.png,flip_v,hierarchical,0.500000,0
000000205647.png,rotate_45_crop_50,hierarchical,1.000000,1
000000207306.png,none,hierarchical,1.000000,1
000000207306.png,rotate_62,hierarchical,0.968750,0
000000207306.png,rotate_351,hierarchical,1.000000,1
000000207306.png,rotate_230,hierarchical,1.000000,1
000000207306.png,flip_h,hierarchical,0.656250,0
000000207306.png,flip_v,hierarchical,0.531250,0
000000207306.png,rotate_45_crop_50,hierarchical,1.000000,1
000000210299.png,none,hierarchical,1.000000,1
000000210299.png,rotate_221,hierarchical,0.531250,0
000000210299.png,rotate_230,hierarchical,1.000000,1
000000210299.png,rotate_236,hierarchical,1.000000,1
000000210299.png,flip_h,hierarchical,0.656250,0
000000210299.png,flip_v,hierarchical,0.531250,0
000000210299.png,rotate_45_crop_50,hierarchical,1.000000,1
000000219440.png,none,hierarchical,1.000000,1
000000219440.png,rotate_28,hierarchical,1.000000,1
000000219440.png,rotate_35,hierarchical,1.000000,1
000000219440.png,rotate_12,hierarchical,1.000000,1
000000219440.png,flip_h,hierarchical,0.656250,0
000000219440.png,flip_v,hierarchical,0.500000,0
000000219440.png,rotate_45_crop_50,hierarchical,1.000000,1
000000230166.png,none,hierarchical,1.000000,1
000000230166.png,rotate_186,hierarchical,1.000000,1
000000230166.png,rotate_242,hierarchical,1.000000,1
000000230166.png,rotate_85,hierarchical,1.000000,1
000000230166.png,flip_h,hierarchical,0.593750,0
000000230166.png,flip_v,hierarchical,0.500000,0
000000230166.png,rotate_45_crop_50,hierarchical,1.000000,1
000000249180.png,none,hierarchical,1.000000,1
000000249180.png,rotate_169,hierarchical,1.000000,1
000000249180.png,rotate_44,hierarchical,0.531250,0
000000249180.png,rotate_61,hierarchical,1.000000,1
000000249180.png,flip_h,hierarchical,0.593750,0
000000249180.png,flip_v,hierarchical,0.562500,0
000000249180.png,rotate_45_crop_50,hierarchical,1.000000,1
000000260657.png,none,hierarchical,1.000000,1
000000260657.png,rotate_283,hierarchical,1.000000,1
000000260657.png,rotate_27,hierarchical,1.000000,1
000000260657.png,rotate_107,hierarchical,1.000000,1
000000260657.png,flip_h,hierarchical,0.656250,0
000000260657.png,flip_v,hierarchical,0.531250,0
000000260657.png,rotate_45_crop_50,hierarchical,1.000000,1
000000262938.png,none,hierarchical,1.000000,1
000000262938.png,rotate_330,hierarchical,0.531250,0
000000262938.png,rotate_127,hierarchical,1.000000,1
000000262938.png,rotate_347,hierarchical,1.000000,1
000000262938.png,flip_h,hierarchical,0.593750,0
000000262938.png,flip_v,hierarchical,0.500000,0
000000262938.png,rotate_45_crop_50,hierarchical,1.000000,1
000000263299.png,none,hierarchical,1.000000,1
000000263299.png,rotate_282,hierarchical,1.000000,1
000000263299.png,rotate_120,hierarchical,1.000000,1
000000263299.png,rotate_115,hierarchical,1.000000,1
000000263299.png,flip_h,hierarchical,0.593750,0
000000263299.png,flip_v,hierarchical,0.531250,0
000000263299.png,rotate_45_crop_50,hierarchical,1.000000,1
000000319617.png,none,hierarchical,1.000000,1
000000319617.png,rotate_136,hierarchical,0.625000,0
000000319617.png,rotate_317,hierarchical,0.812500,0
000000319617.png,rotate_164,hierarchical,0.500000,0
000000319617.png,flip_h,hierarchical,0.593750,0
000000319617.png,flip_v,hierarchical,0.531250,0
000000319617.png,rotate_45_crop_50,hierarchical,1.000000,1
000000322895.png,none,hierarchical,1.000000,1
000000322895.png,rotate_151,hierarchical,0.656250,0
000000322895.png,rotate_314,hierarchical,1.000000,1
000000322895.png,rotate_159,hierarchical,0.656250,0
000000322895.png,flip_h,hierarchical,0.656250,0
000000322895.png,flip_v,hierarchical,0.531250,0
000000322895.png,rotate_45_crop_50,hierarchical,1.000000,1
000000326128.png,none,hierarchical,1.000000,1
000000326128.png,rotate_51,hierarchical,1.000000,1
000000326128.png,rotate_267,hierarchical,1.000000,1
000000326128.png,rotate_294,hierarchical,1.000000,1
000000326128.png,flip_h,hierarchical,0.656250,0
000000326128.png,flip_v,hierarchical,0.531250,0
000000326128.png,rotate_45_crop_50,hierarchical,1.000000,1
000000341681.png,none,hierarchical,1.000000,1
000000341681.png,rotate_112,hierarchical,1.000000,1
000000341681.png,rotate_100,hierarchical,1.000000,1
000000341681.png,rotate_112,hierarchical,1.000000,1
000000341681.png,flip_h,hierarchical,0.625000,0
000000341681.png,flip_v,hierarchical,0.562500,0
000000341681.png,rotate_45_crop_50,hierarchical,1.000000,1
000000358427.png,none,hierarchical,1.000000,1
000000358427.png,rotate_112,hierarchical,0.968750,0
