scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.1928,0.616406,0.343750,0.693750,0.706250,0.775000,0.575000,0.343750,0.356250,0.818750,0.693750,0.662500
distributed_q10_9block,10,9,17.2614,0.468750,0.118750,0.593750,0.637500,0.637500,0.356250,0.237500,0.118750,0.725000,0.550000,0.487500
distributed_q20_5block,20,5,14.1122,0.771875,0.356250,0.943750,0.987500,1.000000,0.356250,0.593750,0.462500,0.975000,0.937500,0.862500
distributed_q20_9block,20,9,14.1659,0.728125,0.237500,0.881250,0.950000,0.975000,0.468750,0.237500,0.475000,0.975000,0.887500,0.856250
distributed_q25_5block,25,5,13.1462,0.754687,0.350000,0.981250,0.993750,1.000000,0.362500,0.350000,0.475000,0.993750,0.975000,0.887500
distributed_q25_9block,25,9,13.1547,0.767188,0.356250,0.943750,0.987500,1.000000,0.356250,0.462500,0.475000,1.000000,0.956250,0.900000
distributed_q30_5block,30,5,12.3278,0.770312,0.356250,0.981250,0.987500,0.993750,0.356250,0.475000,0.475000,0.993750,0.981250,0.900000
distributed_q30_9block,30,9,12.3654,0.771094,0.356250,0.956250,0.987500,1.000000,0.356250,0.475000,0.475000,1.000000,0.975000,0.900000
distributed_q50_5block,50,5,10.1536,0.789844,0.350000,1.000000,1.000000,1.000000,0.475000,0.350000,0.593750,1.000000,0.993750,0.906250
distributed_q50_9block,50,9,10.1921,0.758594,0.343750,1.000000,1.000000,1.000000,0.343750,0.350000,0.475000,1.000000,1.000000,0.900000
single_center_50pct,50,1,10.1684,0.829687,0.593750,1.000000,0.956250,0.975000,0.593750,0.593750,0.637500,1.000000,0.987500,0.893750
