scaling_w,mean_clean_psnr,mean_selected_attack_accuracy,none_mean,jpeg_q50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_mean,resize_0.25_jpeg_q50_mean,center_crop_0.5_mean
0.2500,59.1528,0.353125,0.581250,0.200000,0.281250,0.375000,0.900000,0.362500,0.000000
0.5000,53.1347,0.568750,0.937500,0.743750,0.543750,0.575000,0.943750,0.606250,0.000000
1.0000,47.1218,0.752083,0.993750,0.912500,0.806250,0.693750,0.981250,0.918750,0.200000
1.5000,43.6083,0.931250,0.993750,0.962500,0.925000,0.831250,0.987500,0.950000,0.931250
2.0000,41.1181,0.948958,1.000000,0.981250,0.962500,0.812500,0.993750,0.975000,0.968750
2.5000,39.1887,0.967708,1.000000,0.987500,0.956250,0.918750,0.993750,0.962500,0.987500
3.0000,37.6142,0.970833,1.000000,0.987500,0.968750,0.918750,0.993750,0.968750,0.987500
4.0000,35.1348,0.984375,1.000000,0.981250,0.987500,0.975000,0.993750,0.981250,0.987500
