attack,mean_bit_accuracy,message_success_rate,num_samples
center_crop_0.5,1.000000,1.0000,50
center_crop_0.75,1.000000,1.0000,50
jpeg_q30,1.000000,1.0000,50
none,1.000000,1.0000,50
random_crop_0.5,0.798000,0.0400,50
