attack,mean_bit_accuracy,message_success_rate,num_samples
brightness_1.5,1.000000,1.0000,50
contrast_1.5,1.000000,1.0000,50
jpeg_q30,0.998750,0.9600,50
none,1.000000,1.0000,50
saturation_1.5,1.000000,1.0000,50
