image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000308753.png,none,single_scale,1.000000,1,9.8843,9.8843,1.0
000000308753.png,center_crop_0.5,single_scale,0.500000,0,9.8843,7.3189,1.0
000000308753.png,center_crop_0.75,single_scale,0.531250,0,9.8843,8.2950,1.0
000000308753.png,random_crop_0.5,single_scale,0.562500,0,9.8843,8.7701,1.0
000000308753.png,jpeg_q30,single_scale,1.000000,1,9.8843,12.8030,1.0
000000308793.png,none,single_scale,1.000000,1,10.0144,10.0144,1.0
000000308793.png,center_crop_0.5,single_scale,0.500000,0,10.0144,7.1307,1.0
000000308793.png,center_crop_0.75,single_scale,0.500000,0,10.0144,7.5803,1.0
000000308793.png,random_crop_0.5,single_scale,0.500000,0,10.0144,7.4710,1.0
000000308793.png,jpeg_q30,single_scale,1.000000,1,10.0144,12.9551,1.0
000000308799.png,none,single_scale,1.000000,1,10.5120,10.5120,1.0
000000308799.png,center_crop_0.5,single_scale,0.500000,0,10.5120,6.8771,1.0
000000308799.png,center_crop_0.75,single_scale,0.531250,0,10.5120,6.9799,1.0
000000308799.png,random_crop_0.5,single_scale,0.562500,0,10.5120,6.8278,1.0
000000308799.png,jpeg_q30,single_scale,1.000000,1,10.5120,12.9789,1.0
000000309173.png,none,single_scale,1.000000,1,10.3977,10.3977,1.0
000000309173.png,center_crop_0.5,single_scale,0.500000,0,10.3977,7.0960,1.0
000000309173.png,center_crop_0.75,single_scale,0.531250,0,10.3977,7.7187,1.0
000000309173.png,random_crop_0.5,single_scale,0.625000,0,10.3977,7.4372,1.0
000000309173.png,jpeg_q30,single_scale,1.000000,1,10.3977,12.8685,1.0
000000309391.png,none,single_scale,1.000000,1,9.7966,9.7966,1.0
000000309391.png,center_crop_0.5,single_scale,0.500000,0,9.7966,7.1522,1.0
000000309391.png,center_crop_0.75,single_scale,0.531250,0,9.7966,7.8063,1.0
000000309391.png,random_crop_0.5,single_scale,0.593750,0,9.7966,8.7518,1.0
000000309391.png,jpeg_q30,single_scale,1.000000,1,9.7966,12.8246,1.0
000000309452.png,none,single_scale,1.000000,1,10.1229,10.1229,1.0
000000309452.png,center_crop_0.5,single_scale,0.500000,0,10.1229,7.2351,1.0
000000309452.png,center_crop_0.75,single_scale,0.531250,0,10.1229,8.2410,1.0
000000309452.png,random_crop_0.5,single_scale,0.500000,0,10.1229,7.2398,1.0
000000309452.png,jpeg_q30,single_scale,1.000000,1,10.1229,12.9905,1.0
000000309467.png,none,single_scale,1.000000,1,10.0357,10.0357,1.0
000000309467.png,center_crop_0.5,single_scale,0.500000,0,10.0357,7.3926,1.0
000000309467.png,center_crop_0.75,single_scale,0.656250,0,10.0357,8.1944,1.0
000000309467.png,random_crop_0.5,single_scale,0.531250,0,10.0357,7.4117,1.0
000000309467.png,jpeg_q30,single_scale,1.000000,1,10.0357,12.8813,1.0
000000309484.png,none,single_scale,1.000000,1,10.1074,10.1074,1.0
000000309484.png,center_crop_0.5,single_scale,0.500000,0,10.1074,6.8829,1.0
000000309484.png,center_crop_0.75,single_scale,0.531250,0,10.1074,7.8138,1.0
000000309484.png,random_crop_0.5,single_scale,0.500000,0,10.1074,8.0187,1.0
000000309484.png,jpeg_q30,single_scale,1.000000,1,10.1074,13.0095,1.0
000000309495.png,none,single_scale,1.000000,1,9.8236,9.8236,1.0
000000309495.png,center_crop_0.5,single_scale,0.500000,0,9.8236,7.1702,1.0
000000309495.png,center_crop_0.75,single_scale,0.500000,0,9.8236,8.3367,1.0
000000309495.png,random_crop_0.5,single_scale,0.531250,0,9.8236,10.1209,1.0
000000309495.png,jpeg_q30,single_scale,1.000000,1,9.8236,12.9719,1.0
000000309655.png,none,single_scale,1.000000,1,10.0847,10.0847,1.0
000000309655.png,center_crop_0.5,single_scale,0.500000,0,10.0847,6.9602,1.0
000000309655.png,center_crop_0.75,single_scale,0.531250,0,10.0847,8.2712,1.0
000000309655.png,random_crop_0.5,single_scale,0.468750,0,10.0847,7.5344,1.0
000000309655.png,jpeg_q30,single_scale,1.000000,1,10.0847,12.9250,1.0
000000309678.png,none,single_scale,1.000000,1,10.5041,10.5041,1.0
000000309678.png,center_crop_0.5,single_scale,0.500000,0,10.5041,7.7548,1.0
000000309678.png,center_crop_0.75,single_scale,0.531250,0,10.5041,8.3067,1.0
000000309678.png,random_crop_0.5,single_scale,0.468750,0,10.5041,8.3753,1.0
000000309678.png,jpeg_q30,single_scale,1.000000,1,10.5041,12.9299,1.0
000000309938.png,none,single_scale,1.000000,1,10.1101,10.1101,1.0
000000309938.png,center_crop_0.5,single_scale,0.500000,0,10.1101,6.6714,1.0
000000309938.png,center_crop_0.75,single_scale,0.531250,0,10.1101,7.3985,1.0
000000309938.png,random_crop_0.5,single_scale,0.468750,0,10.1101,7.1640,1.0
000000309938.png,jpeg_q30,single_scale,1.000000,1,10.1101,13.0490,1.0
000000309964.png,none,single_scale,1.000000,1,10.2251,10.2251,1.0
000000309964.png,center_crop_0.5,single_scale,0.500000,0,10.2251,6.9016,1.0
000000309964.png,center_crop_0.75,single_scale,0.531250,0,10.2251,7.5124,1.0
000000309964.png,random_crop_0.5,single_scale,0.500000,0,10.2251,7.5495,1.0
000000309964.png,jpeg_q30,single_scale,1.000000,1,10.2251,12.8485,1.0
000000310072.png,none,single_scale,1.000000,1,10.4505,10.4505,1.0
000000310072.png,center_crop_0.5,single_scale,0.500000,0,10.4505,7.0813,1.0
000000310072.png,center_crop_0.75,single_scale,0.500000,0,10.4505,7.5092,1.0
000000310072.png,random_crop_0.5,single_scale,0.500000,0,10.4505,7.0590,1.0
000000310072.png,jpeg_q30,single_scale,1.000000,1,10.4505,12.8708,1.0
000000310200.png,none,single_scale,1.000000,1,9.9661,9.9661,1.0
000000310200.png,center_crop_0.5,single_scale,0.500000,0,9.9661,6.2508,1.0
000000310200.png,center_crop_0.75,single_scale,0.531250,0,9.9661,7.2693,1.0
000000310200.png,random_crop_0.5,single_scale,0.500000,0,9.9661,6.7257,1.0
000000310200.png,jpeg_q30,single_scale,1.000000,1,9.9661,12.9500,1.0
000000310622.png,none,single_scale,1.000000,1,10.2944,10.2944,1.0
000000310622.png,center_crop_0.5,single_scale,0.500000,0,10.2944,6.4834,1.0
000000310622.png,center_crop_0.75,single_scale,0.531250,0,10.2944,7.2891,1.0
000000310622.png,random_crop_0.5,single_scale,0.625000,0,10.2944,7.0896,1.0
000000310622.png,jpeg_q30,single_scale,1.000000,1,10.2944,12.9933,1.0
000000310862.png,none,single_scale,1.000000,1,10.2919,10.2919,1.0
000000310862.png,center_crop_0.5,single_scale,0.500000,0,10.2919,6.9854,1.0
000000310862.png,center_crop_0.75,single_scale,0.531250,0,10.2919,8.3222,1.0
000000310862.png,random_crop_0.5,single_scale,0.531250,0,10.2919,7.2717,1.0
000000310862.png,jpeg_q30,single_scale,1.000000,1,10.2919,12.9665,1.0
000000310980.png,none,single_scale,1.000000,1,10.8175,10.8175,1.0
000000310980.png,center_crop_0.5,single_scale,0.500000,0,10.8175,5.8143,1.0
000000310980.png,center_crop_0.75,single_scale,0.531250,0,10.8175,7.5674,1.0
000000310980.png,random_crop_0.5,single_scale,0.593750,0,10.8175,6.5255,1.0
000000310980.png,jpeg_q30,single_scale,1.000000,1,10.8175,12.9403,1.0
000000311002.png,none,single_scale,1.000000,1,9.7760,9.7760,1.0
000000311002.png,center_crop_0.5,single_scale,0.500000,0,9.7760,6.6590,1.0
000000311002.png,center_crop_0.75,single_scale,0.531250,0,9.7760,7.6049,1.0
000000311002.png,random_crop_0.5,single_scale,0.500000,0,9.7760,6.8120,1.0
000000311002.png,jpeg_q30,single_scale,1.000000,1,9.7760,12.9162,1.0
000000311081.png,none,single_scale,1.000000,1,9.5832,9.5832,1.0
000000311081.png,center_crop_0.5,single_scale,0.500000,0,9.5832,7.0363,1.0
000000311081.png,center_crop_0.75,single_scale,0.531250,0,9.5832,7.9667,1.0
000000311081.png,random_crop_0.5,single_scale,0.562500,0,9.5832,9.1317,1.0
000000311081.png,jpeg_q30,single_scale,0.968750,0,9.5832,12.9398,1.0
000000311180.png,none,single_scale,1.000000,1,9.9370,9.9370,1.0
000000311180.png,center_crop_0.5,single_scale,0.500000,0,9.9370,6.8107,1.0
000000311180.png,center_crop_0.75,single_scale,0.531250,0,9.9370,7.7107,1.0
000000311180.png,random_crop_0.5,single_scale,0.500000,0,9.9370,6.8904,1.0
000000311180.png,jpeg_q30,single_scale,1.000000,1,9.9370,12.8890,1.0
000000311190.png,none,single_scale,1.000000,1,9.9403,9.9403,1.0
000000311190.png,center_crop_0.5,single_scale,0.500000,0,9.9403,6.9796,1.0
000000311190.png,center_crop_0.75,single_scale,0.531250,0,9.9403,8.3943,1.0
000000311190.png,random_crop_0.5,single_scale,0.437500,0,9.9403,7.7636,1.0
000000311190.png,jpeg_q30,single_scale,1.000000,1,9.9403,12.9445,1.0
000000311295.png,none,single_scale,1.000000,1,9.6554,9.6554,1.0
000000311295.png,center_crop_0.5,single_scale,0.500000,0,9.6554,6.5430,1.0
000000311295.png,center_crop_0.75,single_scale,0.531250,0,9.6554,8.4139,1.0
000000311295.png,random_crop_0.5,single_scale,0.500000,0,9.6554,7.8385,1.0
000000311295.png,jpeg_q30,single_scale,1.000000,1,9.6554,12.8616,1.0
000000311303.png,none,single_scale,1.000000,1,10.2090,10.2090,1.0
000000311303.png,center_crop_0.5,single_scale,0.500000,0,10.2090,6.8937,1.0
000000311303.png,center_crop_0.75,single_scale,0.531250,0,10.2090,7.5467,1.0
000000311303.png,random_crop_0.5,single_scale,0.531250,0,10.2090,6.7096,1.0
000000311303.png,jpeg_q30,single_scale,1.000000,1,10.2090,12.9057,1.0
000000311392.png,none,single_scale,1.000000,1,10.3403,10.3403,1.0
000000311392.png,center_crop_0.5,single_scale,0.500000,0,10.3403,7.1820,1.0
000000311392.png,center_crop_0.75,single_scale,0.531250,0,10.3403,7.9479,1.0
000000311392.png,random_crop_0.5,single_scale,0.437500,0,10.3403,7.0491,1.0
000000311392.png,jpeg_q30,single_scale,1.000000,1,10.3403,12.8673,1.0
000000311394.png,none,single_scale,1.000000,1,10.1391,10.1391,1.0
000000311394.png,center_crop_0.5,single_scale,0.531250,0,10.1391,7.3249,1.0
000000311394.png,center_crop_0.75,single_scale,0.500000,0,10.1391,8.7918,1.0
000000311394.png,random_crop_0.5,single_scale,0.500000,0,10.1391,8.7849,1.0
000000311394.png,jpeg_q30,single_scale,1.000000,1,10.1391,12.8280,1.0
000000311518.png,none,single_scale,1.000000,1,9.9676,9.9676,1.0
000000311518.png,center_crop_0.5,single_scale,0.500000,0,9.9676,7.1005,1.0
000000311518.png,center_crop_0.75,single_scale,0.531250,0,9.9676,7.5539,1.0
000000311518.png,random_crop_0.5,single_scale,0.531250,0,9.9676,7.2922,1.0
000000311518.png,jpeg_q30,single_scale,1.000000,1,9.9676,12.8243,1.0
000000311789.png,none,single_scale,1.000000,1,10.7367,10.7367,1.0
000000311789.png,center_crop_0.5,single_scale,0.500000,0,10.7367,7.9860,1.0
000000311789.png,center_crop_0.75,single_scale,0.687500,0,10.7367,8.6421,1.0
000000311789.png,random_crop_0.5,single_scale,0.562500,0,10.7367,8.7355,1.0
000000311789.png,jpeg_q30,single_scale,1.000000,1,10.7367,12.9794,1.0
000000311883.png,none,single_scale,1.000000,1,10.2014,10.2014,1.0
000000311883.png,center_crop_0.5,single_scale,0.500000,0,10.2014,6.5197,1.0
000000311883.png,center_crop_0.75,single_scale,0.531250,0,10.2014,8.0802,1.0
000000311883.png,random_crop_0.5,single_scale,0.500000,0,10.2014,7.5211,1.0
000000311883.png,jpeg_q30,single_scale,1.000000,1,10.2014,12.9807,1.0
000000311909.png,none,single_scale,1.000000,1,10.2978,10.2978,1.0
000000311909.png,center_crop_0.5,single_scale,0.500000,0,10.2978,6.8638,1.0
000000311909.png,center_crop_0.75,single_scale,0.593750,0,10.2978,7.5251,1.0
000000311909.png,random_crop_0.5,single_scale,0.500000,0,10.2978,7.4365,1.0
000000311909.png,jpeg_q30,single_scale,1.000000,1,10.2978,12.8868,1.0
000000311928.png,none,single_scale,1.000000,1,10.3208,10.3208,1.0
000000311928.png,center_crop_0.5,single_scale,0.500000,0,10.3208,7.1987,1.0
000000311928.png,center_crop_0.75,single_scale,0.531250,0,10.3208,8.2071,1.0
000000311928.png,random_crop_0.5,single_scale,0.500000,0,10.3208,7.5496,1.0
000000311928.png,jpeg_q30,single_scale,1.000000,1,10.3208,13.0927,1.0
000000311950.png,none,single_scale,1.000000,1,10.2923,10.2923,1.0
000000311950.png,center_crop_0.5,single_scale,0.500000,0,10.2923,6.2921,1.0
000000311950.png,center_crop_0.75,single_scale,0.531250,0,10.2923,7.3776,1.0
000000311950.png,random_crop_0.5,single_scale,0.437500,0,10.2923,6.7178,1.0
000000311950.png,jpeg_q30,single_scale,1.000000,1,10.2923,12.8320,1.0
000000312192.png,none,single_scale,1.000000,1,10.2413,10.2413,1.0
000000312192.png,center_crop_0.5,single_scale,0.500000,0,10.2413,7.4445,1.0
000000312192.png,center_crop_0.75,single_scale,0.500000,0,10.2413,8.4678,1.0
000000312192.png,random_crop_0.5,single_scale,0.437500,0,10.2413,7.6935,1.0
000000312192.png,jpeg_q30,single_scale,0.968750,0,10.2413,13.0519,1.0
000000312213.png,none,single_scale,1.000000,1,10.1267,10.1267,1.0
000000312213.png,center_crop_0.5,single_scale,0.500000,0,10.1267,7.4175,1.0
000000312213.png,center_crop_0.75,single_scale,0.531250,0,10.1267,8.5123,1.0
000000312213.png,random_crop_0.5,single_scale,0.468750,0,10.1267,7.5307,1.0
000000312213.png,jpeg_q30,single_scale,1.000000,1,10.1267,12.9599,1.0
000000312237.png,none,single_scale,1.000000,1,9.5797,9.5797,1.0
000000312237.png,center_crop_0.5,single_scale,0.500000,0,9.5797,6.9221,1.0
000000312237.png,center_crop_0.75,single_scale,0.531250,0,9.5797,8.1065,1.0
000000312237.png,random_crop_0.5,single_scale,0.500000,0,9.5797,6.5841,1.0
000000312237.png,jpeg_q30,single_scale,1.000000,1,9.5797,12.8524,1.0
000000312263.png,none,single_scale,1.000000,1,10.6271,10.6271,1.0
000000312263.png,center_crop_0.5,single_scale,0.500000,0,10.6271,7.3737,1.0
000000312263.png,center_crop_0.75,single_scale,0.531250,0,10.6271,7.9702,1.0
000000312263.png,random_crop_0.5,single_scale,0.468750,0,10.6271,7.3759,1.0
000000312263.png,jpeg_q30,single_scale,1.000000,1,10.6271,13.0398,1.0
000000312278.png,none,single_scale,1.000000,1,10.3605,10.3605,1.0
000000312278.png,center_crop_0.5,single_scale,0.500000,0,10.3605,6.4424,1.0
000000312278.png,center_crop_0.75,single_scale,0.531250,0,10.3605,6.9719,1.0
000000312278.png,random_crop_0.5,single_scale,0.500000,0,10.3605,6.8152,1.0
000000312278.png,jpeg_q30,single_scale,1.000000,1,10.3605,12.8128,1.0
000000312340.png,none,single_scale,1.000000,1,10.0116,10.0116,1.0
000000312340.png,center_crop_0.5,single_scale,0.500000,0,10.0116,7.6088,1.0
